Origin Airport,Destination Airport,Weighted Distance
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,982.0234519364361
O'Hare International Airport,Dallas/Fort Worth International Airport,1285.1375170311965
O'Hare International Airport,Denver International Airport,1418.5833898375206
O'Hare International Airport,Los Angeles International Airport,2769.6268733137367
O'Hare International Airport,John F. Kennedy International Airport,1195.6990906824617
O'Hare International Airport,Harry Reid International Airport,2407.043892076783
O'Hare International Airport,Orlando International Airport,1634.4777955340166
O'Hare International Airport,Miami International Airport,1949.4543175874012
O'Hare International Airport,Charlotte Douglas International Airport,969.864536370418
O'Hare International Airport,Seattle-Tacoma International Airport,2730.102437400231
O'Hare International Airport,Phoenix Sky Harbor International Airport,2291.4499523226436
O'Hare International Airport,Newark Liberty International Airport,1161.3515722323132
O'Hare International Airport,San Francisco International Airport,2927.754955438344
O'Hare International Airport,George Bush Intercontinental Airport,1481.4567884828757
O'Hare International Airport,Logan International Airport,1401.284821786363
O'Hare International Airport,Fort Lauderdale-Hollywood International Airport,1924.0897104862204
O'Hare International Airport,Minneapolis-Saint Paul International Airport,535.5462443355149
O'Hare International Airport,LaGuardia Airport,1184.8593887259594
O'Hare International Airport,Detroit Metropolitan Airport,377.8559093723694
O'Hare International Airport,Philadelphia International Airport,1094.9977931505105
O'Hare International Airport,Salt Lake City International Airport,1990.549824755888
O'Hare International Airport,Ronald Reagan Washington National Airport,988.2914533850505
O'Hare International Airport,San Diego International Airport,2737.2287730255
O'Hare International Airport,Baltimore/Washington International Airport,1003.8602054906698
O'Hare International Airport,Tampa International Airport,1645.275213534039
O'Hare International Airport,Austin-Bergstrom International Airport,1564.8720438155492
O'Hare International Airport,Washington Dulles International Airport,950.2910233231909
O'Hare International Airport,Nashville International Airport,662.4252581786518
O'Hare International Airport,Paris Charles de Gaulle Airport,6870.918806148539
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,3173.234258449745
Los Angeles International Airport,Dallas/Fort Worth International Airport,2002.6676266796892
Los Angeles International Airport,Denver International Airport,1394.8004799315813
Los Angeles International Airport,O'Hare International Airport,2840.304789264902
Los Angeles International Airport,John F. Kennedy International Airport,4049.6806916897945
Los Angeles International Airport,Harry Reid International Airport,381.5364247490968
Los Angeles International Airport,Orlando International Airport,3623.5640012023414
Los Angeles International Airport,Miami International Airport,3831.650836215842
Los Angeles International Airport,Charlotte Douglas International Airport,3468.3138218293793
Los Angeles International Airport,Seattle-Tacoma International Airport,1527.7687248323311
Los Angeles International Airport,Phoenix Sky Harbor International Airport,596.8895123370074
Los Angeles International Airport,Newark Liberty International Airport,4014.6861469386527
Los Angeles International Airport,San Francisco International Airport,542.6759195791482
Los Angeles International Airport,George Bush Intercontinental Airport,2239.4465110526826
Los Angeles International Airport,Logan International Airport,4276.505578208969
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,3831.434668503819
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,2498.2325112869353
Los Angeles International Airport,LaGuardia Airport,4040.470126991615
Los Angeles International Airport,Detroit Metropolitan Airport,3227.1783368445463
