Hartsfield-Jackson Atlanta International Airport,Hartsfield-Jackson Atlanta International Airport,0.0
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1175.045552687493
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,1926.6658388112894
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,976.6365379440517
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3125.753074015173
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1222.4818118957312
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,2804.369598587571
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,651.1466779149102
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,959.3156230611345
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,364.2618063873251
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3504.8806001235675
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2548.7863376109754
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1199.3182356171715
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3435.0567691333135
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1107.0559786638896
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1521.4585621783465
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,936.3737266232628
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1459.6021437129937
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1224.8835700348038
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,958.3664398281788
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1071.6273257796643
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2554.1198818462094
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,879.989924881351
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3038.4798539417607
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,927.805114669701
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,654.8531158640244
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,1305.5443696144239
