source airport,destination airport,company flight demand
John F. Kennedy International Airport,Nashville International Airport,12
Harry Reid International Airport,Hartsfield-Jackson Atlanta International Airport,10
Harry Reid International Airport,Dallas/Fort Worth International Airport,13
Harry Reid International Airport,Denver International Airport,5
Harry Reid International Airport,O'Hare International Airport,16
Harry Reid International Airport,Los Angeles International Airport,30
Harry Reid International Airport,John F. Kennedy International Airport,11
Harry Reid International Airport,Orlando International Airport,4
Harry Reid International Airport,Miami International Airport,5
Harry Reid International Airport,Charlotte Douglas International Airport,4
Harry Reid International Airport,Seattle-Tacoma International Airport,7
Harry Reid International Airport,Phoenix Sky Harbor International Airport,8
Harry Reid International Airport,Newark Liberty International Airport,11
Harry Reid International Airport,San Francisco International Airport,12
Harry Reid International Airport,George Bush Intercontinental Airport,12
Harry Reid International Airport,Logan International Airport,8
Harry Reid International Airport,Fort Lauderdale-Hollywood International Airport,5
Harry Reid International Airport,Minneapolis-Saint Paul International Airport,6
Harry Reid International Airport,LaGuardia Airport,11
Harry Reid International Airport,Detroit Metropolitan Airport,7
Harry Reid International Airport,Philadelphia International Airport,10
Harry Reid International Airport,Salt Lake City International Airport,2
Harry Reid International Airport,Ronald Reagan Washington National Airport,4
Harry Reid International Airport,San Diego International Airport,5
Harry Reid International Airport,Baltimore/Washington International Airport,4
Harry Reid International Airport,Tampa International Airport,5
Harry Reid International Airport,Austin-Bergstrom International Airport,4
Harry Reid International Airport,Washington Dulles International Airport,4
Harry Reid International Airport,Nashville International Airport,3
Orlando International Airport,Hartsfield-Jackson Atlanta International Airport,12
Orlando International Airport,Dallas/Fort Worth International Airport,15
Orlando International Airport,Denver International Airport,6
Orlando International Airport,O'Hare International Airport,19
Orlando International Airport,Los Angeles International Airport,37
Orlando International Airport,John F. Kennedy International Airport,14
Orlando International Airport,Harry Reid International Airport,5
Orlando International Airport,Miami International Airport,6
Orlando International Airport,Charlotte Douglas International Airport,5
Orlando International Airport,Seattle-Tacoma International Airport,8
Orlando International Airport,Phoenix Sky Harbor International Airport,10
Orlando International Airport,Newark Liberty International Airport,14
Orlando International Airport,San Francisco International Airport,14
Orlando International Airport,George Bush Intercontinental Airport,14
Orlando International Airport,Logan International Airport,10
Orlando International Airport,Fort Lauderdale-Hollywood International Airport,6
Orlando International Airport,Minneapolis-Saint Paul International Airport,7
Orlando International Airport,LaGuardia Airport,14
Orlando International Airport,Detroit Metropolitan Airport,9
Orlando International Airport,Philadelphia International Airport,13
Orlando International Airport,Salt Lake City International Airport,3
Orlando International Airport,Ronald Reagan Washington National Airport,4
Orlando International Airport,San Diego International Airport,7
Orlando International Airport,Baltimore/Washington International Airport,4
Orlando International Airport,Austin-Bergstrom International Airport,5
Orlando International Airport,Washington Dulles International Airport,4
Orlando International Airport,Nashville International Airport,4
Miami International Airport,Hartsfield-Jackson Atlanta International Airport,14
Miami International Airport,Dallas/Fort Worth International Airport,18
Miami International Airport,Denver International Airport,7
Miami International Airport,O'Hare International Airport,22
Miami International Airport,Los Angeles International Airport,42
Miami International Airport,John F. Kennedy International Airport,15
Miami International Airport,Harry Reid International Airport,5
Miami International Airport,Orlando International Airport,6
Miami International Airport,Charlotte Douglas International Airport,6
Miami International Airport,Seattle-Tacoma International Airport,9
Miami International Airport,Phoenix Sky Harbor International Airport,11
Miami International Airport,Newark Liberty International Airport,15
Miami International Airport,San Francisco International Airport,16
Miami International Airport,George Bush Intercontinental Airport,16
Miami International Airport,Logan International Airport,11
Miami International Airport,Minneapolis-Saint Paul International Airport,8
Miami International Airport,LaGuardia Airport,15
Miami International Airport,Detroit Metropolitan Airport,10
Miami International Airport,Philadelphia International Airport,14
Miami International Airport,Salt Lake City International Airport,3
Miami International Airport,Ronald Reagan Washington National Airport,5
Miami International Airport,San Diego International Airport,8
Miami International Airport,Baltimore/Washington International Airport,5
Miami International Airport,Tampa International Airport,7
Miami International Airport,Austin-Bergstrom International Airport,6
Miami International Airport,Washington Dulles International Airport,5
Miami International Airport,Nashville International Airport,5
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,12
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,15
Charlotte Douglas International Airport,Denver International Airport,6
Charlotte Douglas International Airport,O'Hare International Airport,19
Charlotte Douglas International Airport,Los Angeles International Airport,36
Charlotte Douglas International Airport,John F. Kennedy International Airport,13
Charlotte Douglas International Airport,Harry Reid International Airport,4
Charlotte Douglas International Airport,Orlando International Airport,5
Charlotte Douglas International Airport,Miami International Airport,6
Charlotte Douglas International Airport,Seattle-Tacoma International Airport,8
Charlotte Douglas International Airport,Phoenix Sky Harbor International Airport,9
Charlotte Douglas International Airport,Newark Liberty International Airport,13
Charlotte Douglas International Airport,San Francisco International Airport,14
Charlotte Douglas International Airport,George Bush Intercontinental Airport,14
Charlotte Douglas International Airport,Logan International Airport,10
Charlotte Douglas International Airport,Fort Lauderdale-Hollywood International Airport,6
Charlotte Douglas International Airport,Minneapolis-Saint Paul International Airport,7
Charlotte Douglas International Airport,LaGuardia Airport,13
Charlotte Douglas International Airport,Detroit Metropolitan Airport,8
Charlotte Douglas International Airport,Philadelphia International Airport,12
Charlotte Douglas International Airport,Salt Lake City International Airport,2
Charlotte Douglas International Airport,Ronald Reagan Washington National Airport,4
Charlotte Douglas International Airport,San Diego International Airport,6
Charlotte Douglas International Airport,Baltimore/Washington International Airport,4
Charlotte Douglas International Airport,Tampa International Airport,6
Charlotte Douglas International Airport,Austin-Bergstrom International Airport,5
Charlotte Douglas International Airport,Washington Dulles International Airport,4
Charlotte Douglas International Airport,Nashville International Airport,4
Seattle-Tacoma International Airport,Hartsfield-Jackson Atlanta International Airport,18
Seattle-Tacoma International Airport,Dallas/Fort Worth International Airport,23
Seattle-Tacoma International Airport,Denver International Airport,9
Seattle-Tacoma International Airport,O'Hare International Airport,29
Seattle-Tacoma International Airport,Los Angeles International Airport,54
Seattle-Tacoma International Airport,John F. Kennedy International Airport,20
Seattle-Tacoma International Airport,Harry Reid International Airport,7
Seattle-Tacoma International Airport,Orlando International Airport,8
Seattle-Tacoma International Airport,Miami International Airport,9
Seattle-Tacoma International Airport,Charlotte Douglas International Airport,8
Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,14
Seattle-Tacoma International Airport,Newark Liberty International Airport,20
Seattle-Tacoma International Airport,San Francisco International Airport,21
Seattle-Tacoma International Airport,George Bush Intercontinental Airport,21
Seattle-Tacoma International Airport,Logan International Airport,15
Seattle-Tacoma International Airport,Fort Lauderdale-Hollywood International Airport,9
Seattle-Tacoma International Airport,Minneapolis-Saint Paul International Airport,11
Seattle-Tacoma International Airport,LaGuardia Airport,20
Seattle-Tacoma International Airport,Detroit Metropolitan Airport,13
Seattle-Tacoma International Airport,Philadelphia International Airport,19
Seattle-Tacoma International Airport,Salt Lake City International Airport,4
Seattle-Tacoma International Airport,Ronald Reagan Washington National Airport,6
Seattle-Tacoma International Airport,San Diego International Airport,10
Seattle-Tacoma International Airport,Baltimore/Washington International Airport,6
Seattle-Tacoma International Airport,Tampa International Airport,9
Seattle-Tacoma International Airport,Austin-Bergstrom International Airport,7
Seattle-Tacoma International Airport,Washington Dulles International Airport,6
Seattle-Tacoma International Airport,Nashville International Airport,6
Phoenix Sky Harbor International Airport,Hartsfield-Jackson Atlanta International Airport,22
Phoenix Sky Harbor International Airport,Dallas/Fort Worth International Airport,27
Phoenix Sky Harbor International Airport,Denver International Airport,11
Phoenix Sky Harbor International Airport,O'Hare International Airport,35
Phoenix Sky Harbor International Airport,Los Angeles International Airport,66
Phoenix Sky Harbor International Airport,John F. Kennedy International Airport,24
Phoenix Sky Harbor International Airport,Harry Reid International Airport,8
Phoenix Sky Harbor International Airport,Orlando International Airport,10
Phoenix Sky Harbor International Airport,Miami International Airport,11
Phoenix Sky Harbor International Airport,Charlotte Douglas International Airport,10
Phoenix Sky Harbor International Airport,Seattle-Tacoma International Airport,14
Phoenix Sky Harbor International Airport,Newark Liberty International Airport,24
Phoenix Sky Harbor International Airport,San Francisco International Airport,25
Phoenix Sky Harbor International Airport,George Bush Intercontinental Airport,26
Phoenix Sky Harbor International Airport,Logan International Airport,18
Phoenix Sky Harbor International Airport,Fort Lauderdale-Hollywood International Airport,11
Phoenix Sky Harbor International Airport,Minneapolis-Saint Paul International Airport,13
Phoenix Sky Harbor International Airport,LaGuardia Airport,24
Phoenix Sky Harbor International Airport,Detroit Metropolitan Airport,16
Phoenix Sky Harbor International Airport,Philadelphia International Airport,22
Phoenix Sky Harbor International Airport,Salt Lake City International Airport,5
Phoenix Sky Harbor International Airport,Ronald Reagan Washington National Airport,8
Phoenix Sky Harbor International Airport,San Diego International Airport,12
Phoenix Sky Harbor International Airport,Baltimore/Washington International Airport,8
Phoenix Sky Harbor International Airport,Tampa International Airport,11
Phoenix Sky Harbor International Airport,Austin-Bergstrom International Airport,9
Phoenix Sky Harbor International Airport,Washington Dulles International Airport,8
Phoenix Sky Harbor International Airport,Nashville International Airport,7
Newark Liberty International Airport,Hartsfield-Jackson Atlanta International Airport,36
Newark Liberty International Airport,Dallas/Fort Worth International Airport,45
Newark Liberty International Airport,Denver International Airport,18
Newark Liberty International Airport,O'Hare International Airport,57
Newark Liberty International Airport,Los Angeles International Airport,109
Newark Liberty International Airport,Harry Reid International Airport,13
Newark Liberty International Airport,Orlando International Airport,16
Newark Liberty International Airport,Miami International Airport,18
Newark Liberty International Airport,Charlotte Douglas International Airport,16
Newark Liberty International Airport,Seattle-Tacoma International Airport,24
Newark Liberty International Airport,Phoenix Sky Harbor International Airport,29
Newark Liberty International Airport,San Francisco International Airport,42
Newark Liberty International Airport,George Bush Intercontinental Airport,42
Newark Liberty International Airport,Logan International Airport,29
Newark Liberty International Airport,Fort Lauderdale-Hollywood International Airport,18
Newark Liberty International Airport,Minneapolis-Saint Paul International Airport,22
Newark Liberty International Airport,Detroit Metropolitan Airport,26
Newark Liberty International Airport,Salt Lake City International Airport,7
Newark Liberty International Airport,Ronald Reagan Washington National Airport,13
Newark Liberty International Airport,San Diego International Airport,19
Newark Liberty International Airport,Baltimore/Washington International Airport,13
Newark Liberty International Airport,Tampa International Airport,19
Newark Liberty International Airport,Austin-Bergstrom International Airport,14
Newark Liberty International Airport,Washington Dulles International Airport,13
Newark Liberty International Airport,Nashville International Airport,12
San Francisco International Airport,Hartsfield-Jackson Atlanta International Airport,33
San Francisco International Airport,Dallas/Fort Worth International Airport,41
San Francisco International Airport,Denver International Airport,16
San Francisco International Airport,O'Hare International Airport,51
San Francisco International Airport,Los Angeles International Airport,98
San Francisco International Airport,John F. Kennedy International Airport,36
San Francisco International Airport,Harry Reid International Airport,12
San Francisco International Airport,Orlando International Airport,14
San Francisco International Airport,Miami International Airport,16
San Francisco International Airport,Charlotte Douglas International Airport,14
San Francisco International Airport,Seattle-Tacoma International Airport,21
San Francisco International Airport,Phoenix Sky Harbor International Airport,26
San Francisco International Airport,Newark Liberty International Airport,36
San Francisco International Airport,George Bush Intercontinental Airport,38
San Francisco International Airport,Logan International Airport,26
San Francisco International Airport,Fort Lauderdale-Hollywood International Airport,16
San Francisco International Airport,Minneapolis-Saint Paul International Airport,20
San Francisco International Airport,LaGuardia Airport,36
San Francisco International Airport,Detroit Metropolitan Airport,23
San Francisco International Airport,Philadelphia International Airport,33
San Francisco International Airport,Salt Lake City International Airport,7
San Francisco International Airport,Ronald Reagan Washington National Airport,11
San Francisco International Airport,San Diego International Airport,18
San Francisco International Airport,Baltimore/Washington International Airport,11
San Francisco International Airport,Tampa International Airport,17
San Francisco International Airport,Austin-Bergstrom International Airport,13
San Francisco International Airport,Washington Dulles International Airport,11
San Francisco International Airport,Nashville International Airport,11
George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,34
George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,42
George Bush Intercontinental Airport,Denver International Airport,16
George Bush Intercontinental Airport,O'Hare International Airport,53
George Bush Intercontinental Airport,Los Angeles International Airport,101
George Bush Intercontinental Airport,John F. Kennedy International Airport,37
George Bush Intercontinental Airport,Harry Reid International Airport,12
George Bush Intercontinental Airport,Orlando International Airport,15
George Bush Intercontinental Airport,Miami International Airport,17
George Bush Intercontinental Airport,Charlotte Douglas International Airport,15
George Bush Intercontinental Airport,Seattle-Tacoma International Airport,22
George Bush Intercontinental Airport,Phoenix Sky Harbor International Airport,27
George Bush Intercontinental Airport,Newark Liberty International Airport,37
George Bush Intercontinental Airport,San Francisco International Airport,39
George Bush Intercontinental Airport,Logan International Airport,27
George Bush Intercontinental Airport,Fort Lauderdale-Hollywood International Airport,17
George Bush Intercontinental Airport,Minneapolis-Saint Paul International Airport,20
George Bush Intercontinental Airport,LaGuardia Airport,37
George Bush Intercontinental Airport,Detroit Metropolitan Airport,24
George Bush Intercontinental Airport,Philadelphia International Airport,34
George Bush Intercontinental Airport,Salt Lake City International Airport,7
George Bush Intercontinental Airport,Ronald Reagan Washington National Airport,12
George Bush Intercontinental Airport,San Diego International Airport,18
George Bush Intercontinental Airport,Baltimore/Washington International Airport,12
George Bush Intercontinental Airport,Tampa International Airport,17
George Bush Intercontinental Airport,Washington Dulles International Airport,12
George Bush Intercontinental Airport,Nashville International Airport,11
Logan International Airport,Hartsfield-Jackson Atlanta International Airport,23
Logan International Airport,Dallas/Fort Worth International Airport,28
Logan International Airport,Denver International Airport,11
Logan International Airport,O'Hare International Airport,35
Logan International Airport,Los Angeles International Airport,67
Logan International Airport,John F. Kennedy International Airport,25
Logan International Airport,Harry Reid International Airport,8
Logan International Airport,Orlando International Airport,10
Logan International Airport,Miami International Airport,11
Logan International Airport,Charlotte Douglas International Airport,10
Logan International Airport,Seattle-Tacoma International Airport,15
Logan International Airport,Phoenix Sky Harbor International Airport,18
Logan International Airport,Newark Liberty International Airport,25
Logan International Airport,San Francisco International Airport,26
Logan International Airport,George Bush Intercontinental Airport,26
Logan International Airport,Fort Lauderdale-Hollywood International Airport,11
Logan International Airport,Minneapolis-Saint Paul International Airport,14
Logan International Airport,LaGuardia Airport,25
Logan International Airport,Detroit Metropolitan Airport,16
Logan International Airport,Philadelphia International Airport,23
Logan International Airport,Salt Lake City International Airport,5
Logan International Airport,Ronald Reagan Washington National Airport,8
Logan International Airport,San Diego International Airport,12
Logan International Airport,Baltimore/Washington International Airport,8
Logan International Airport,Tampa International Airport,12
Logan International Airport,Austin-Bergstrom International Airport,9
Logan International Airport,Washington Dulles International Airport,8
Logan International Airport,Nashville International Airport,8
Fort Lauderdale-Hollywood International Airport,Hartsfield-Jackson Atlanta International Airport,14
Fort Lauderdale-Hollywood International Airport,Dallas/Fort Worth International Airport,18
Fort Lauderdale-Hollywood International Airport,Denver International Airport,7
Fort Lauderdale-Hollywood International Airport,O'Hare International Airport,22
Fort Lauderdale-Hollywood International Airport,Los Angeles International Airport,42
Fort Lauderdale-Hollywood International Airport,John F. Kennedy International Airport,15
Fort Lauderdale-Hollywood International Airport,Harry Reid International Airport,5
Fort Lauderdale-Hollywood International Airport,Orlando International Airport,6
Fort Lauderdale-Hollywood International Airport,Charlotte Douglas International Airport,6
Fort Lauderdale-Hollywood International Airport,Seattle-Tacoma International Airport,9
Fort Lauderdale-Hollywood International Airport,Phoenix Sky Harbor International Airport,11
Fort Lauderdale-Hollywood International Airport,Newark Liberty International Airport,15
Fort Lauderdale-Hollywood International Airport,San Francisco International Airport,16
Fort Lauderdale-Hollywood International Airport,George Bush Intercontinental Airport,16
Fort Lauderdale-Hollywood International Airport,Logan International Airport,11
Fort Lauderdale-Hollywood International Airport,Minneapolis-Saint Paul International Airport,8
Fort Lauderdale-Hollywood International Airport,LaGuardia Airport,15
Fort Lauderdale-Hollywood International Airport,Detroit Metropolitan Airport,10
Fort Lauderdale-Hollywood International Airport,Philadelphia International Airport,14
Fort Lauderdale-Hollywood International Airport,Salt Lake City International Airport,3
Fort Lauderdale-Hollywood International Airport,Ronald Reagan Washington National Airport,5
Fort Lauderdale-Hollywood International Airport,San Diego International Airport,8
Fort Lauderdale-Hollywood International Airport,Baltimore/Washington International Airport,5
Fort Lauderdale-Hollywood International Airport,Tampa International Airport,7
Fort Lauderdale-Hollywood International Airport,Austin-Bergstrom International Airport,6
Fort Lauderdale-Hollywood International Airport,Washington Dulles International Airport,5
Fort Lauderdale-Hollywood International Airport,Nashville International Airport,5
Minneapolis-Saint Paul International Airport,Hartsfield-Jackson Atlanta International Airport,17
Minneapolis-Saint Paul International Airport,Dallas/Fort Worth International Airport,21
Minneapolis-Saint Paul International Airport,Denver International Airport,8
Minneapolis-Saint Paul International Airport,O'Hare International Airport,26
Minneapolis-Saint Paul International Airport,Los Angeles International Airport,50
Minneapolis-Saint Paul International Airport,John F. Kennedy International Airport,18
Minneapolis-Saint Paul International Airport,Harry Reid International Airport,6
Minneapolis-Saint Paul International Airport,Orlando International Airport,7
Minneapolis-Saint Paul International Airport,Miami International Airport,8
Minneapolis-Saint Paul International Airport,Charlotte Douglas International Airport,7
Minneapolis-Saint Paul International Airport,Seattle-Tacoma International Airport,11
Minneapolis-Saint Paul International Airport,Phoenix Sky Harbor International Airport,13
Minneapolis-Saint Paul International Airport,Newark Liberty International Airport,18
Minneapolis-Saint Paul International Airport,San Francisco International Airport,19
Minneapolis-Saint Paul International Airport,George Bush Intercontinental Airport,19
Minneapolis-Saint Paul International Airport,Logan International Airport,13
Minneapolis-Saint Paul International Airport,Fort Lauderdale-Hollywood International Airport,8
Minneapolis-Saint Paul International Airport,LaGuardia Airport,18
Minneapolis-Saint Paul International Airport,Detroit Metropolitan Airport,12
Minneapolis-Saint Paul International Airport,Philadelphia International Airport,17
Minneapolis-Saint Paul International Airport,Salt Lake City International Airport,3
Minneapolis-Saint Paul International Airport,Ronald Reagan Washington National Airport,6
Minneapolis-Saint Paul International Airport,San Diego International Airport,9
Minneapolis-Saint Paul International Airport,Baltimore/Washington International Airport,6
Minneapolis-Saint Paul International Airport,Tampa International Airport,9
Minneapolis-Saint Paul International Airport,Austin-Bergstrom International Airport,7
Minneapolis-Saint Paul International Airport,Washington Dulles International Airport,6
Minneapolis-Saint Paul International Airport,Nashville International Airport,6
LaGuardia Airport,Hartsfield-Jackson Atlanta International Airport,36
LaGuardia Airport,Dallas/Fort Worth International Airport,45
LaGuardia Airport,Denver International Airport,18
LaGuardia Airport,O'Hare International Airport,57
LaGuardia Airport,Los Angeles International Airport,109
LaGuardia Airport,Harry Reid International Airport,13
LaGuardia Airport,Orlando International Airport,16
LaGuardia Airport,Miami International Airport,18
LaGuardia Airport,Charlotte Douglas International Airport,16
LaGuardia Airport,Seattle-Tacoma International Airport,24
LaGuardia Airport,Phoenix Sky Harbor International Airport,29
LaGuardia Airport,San Francisco International Airport,42
