source airport,destination airport,distance (weighted in km),number of passengers for 2% market share (flight demand),Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons)
Dallas/Fort Worth International Airport,Newark Liberty International Airport,2229.4014413110053,35,3275.0120048638987,4093.765006079873,3160.09930293885,2729.1766707199154
Dallas/Fort Worth International Airport,San Francisco International Airport,2329.6948759166203,37,3422.344017957632,4277.93002244704,3302.2617717135054,2851.9533482980264
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,361.67788660179014,38,531.3082689217778,664.1353361522221,512.6658735210136,442.7568907681481
Dallas/Fort Worth International Airport,Logan International Airport,2540.808933315075,26,3732.472584111642,4665.590730139553,3601.508633791936,3110.393820093035
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,1816.0370521554134,16,2667.7757701588084,3334.71971269851,2574.169602784815,2223.14647513234
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,1383.5928465906327,19,2032.5111029638088,2540.638878704761,1961.1949239124474,1693.7592524698405
Dallas/Fort Worth International Airport,LaGuardia Airport,2256.859587954902,35,3315.3482844696,4144.185355587,3199.0202744882113,2762.790237058
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,1600.3295598423138,23,2350.899404254487,2938.624255318108,2268.4117058595925,1959.0828368787386
Dallas/Fort Worth International Airport,Philadelphia International Airport,2115.4646442053604,33,3107.6377619831273,3884.547202478909,2998.597840510036,2589.6981349859393
Dallas/Fort Worth International Airport,Salt Lake City International Airport,1580.1192658184416,7,2321.2102893541714,2901.5128616927145,2239.7643142891134,1934.3419077951428
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,1934.0570255816897,11,2841.1482380430493,3551.435297553812,2741.4588261818903,2367.623531702541
Dallas/Fort Worth International Airport,San Diego International Airport,1866.9569050601363,17,2742.5775202872223,3428.2219003590276,2646.346730101706,2285.4812669060184
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,1974.91968594828,11,2901.1758763012194,3626.469845376524,2799.380231518721,2417.646563584349
Dallas/Fort Worth International Airport,Tampa International Airport,1505.0553880603163,17,2210.9407361753897,2763.675920219237,2133.3638682394117,1842.4506134794913
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,305.6828604489955,13,449.0510408313398,561.3138010391747,433.2948639600648,374.2092006927831
Dallas/Fort Worth International Airport,Washington Dulles International Airport,1901.2317434565102,11,2792.9275851669167,3491.159481458646,2694.9301260382535,2327.439654305764
Dallas/Fort Worth International Airport,Nashville International Airport,1020.6134995012422,11,1499.2909761586698,1874.1137201983372,1446.684275240822,1249.4091467988915
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,8236.980041317649,69,12100.202332010786,15125.25291501348,11675.633829133214,10083.501943342319
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,1945.5326538021507,12,2858.0060454746554,3572.5075568433185,2757.7251315983517,2381.671704562212
Denver International Airport,Dallas/Fort Worth International Airport,1037.7017513457292,15,1524.3937812864547,1905.4922266080682,1470.9062801886846,1270.3281510720453
Denver International Airport,O'Hare International Airport,1436.8949920924172,19,2110.8124636647744,2638.5155795809683,2036.7488684484672,1759.010386387312
Denver International Airport,Los Angeles International Airport,1377.5396522485162,36,2023.6189026759378,2529.523628344922,1952.614730652221,1686.3490855632813
Denver International Airport,John F. Kennedy International Airport,2643.6540732116646,13,3883.5530766429333,4854.441345803667,3747.2880564098487,3236.294230535778
Denver International Airport,Harry Reid International Airport,1004.9498278235023,4,1476.280892898529,1845.3511161231609,1424.481563323142,1230.2340774154404
Denver International Airport,Orlando International Airport,2517.1729391251256,5,3697.7510829568487,4622.1888536960605,3568.0054309232755,3081.459235797374
Denver International Airport,Miami International Airport,2786.468280730962,6,4093.3485111591053,5116.685638948881,3949.722247609664,3411.1237592992547
Denver International Airport,Charlotte Douglas International Airport,2171.099371893513,5,3189.3657081886736,3986.7071352358416,3077.4581394802995,2657.8047568238944
Denver International Airport,Seattle-Tacoma International Airport,1634.8150253342374,8,2401.55888234873,3001.9486029359127,2317.2936584066697,2001.2990686239416
Denver International Airport,Phoenix Sky Harbor International Airport,964.5486580734936,10,1416.931188762689,1771.1639859533614,1367.2143049464544,1180.775990635574
Denver International Airport,Newark Liberty International Airport,2608.8782595802213,13,3832.4670743593288,4790.5838429491605,3697.99454543444,3193.7225619661067
Denver International Airport,San Francisco International Airport,1543.7186220769565,14,2267.737396124124,2834.671745155155,2188.1676629267868,1889.78116343677
Denver International Airport,George Bush Intercontinental Airport,1396.6105127223836,14,2051.634178811344,2564.54272351418,1979.647014642525,1709.6951490094532
Denver International Airport,Logan International Airport,2854.662306540831,10,4193.526186228692,5241.907732785864,4046.3849165364572,3494.6051551905757
Denver International Airport,Fort Lauderdale-Hollywood International Airport,2775.9012531883686,6,4077.825446799118,5097.281808498897,3934.743852174588,3398.187872332598
Denver International Airport,Minneapolis-Saint Paul International Airport,1100.327588064226,7,1616.3917334126152,2020.4896667657688,1559.6762339946288,1346.993111177179
Denver International Airport,LaGuardia Airport,2633.474543749398,13,3868.5992506629946,4835.749063328743,3732.8589260783288,3223.8327088858287
Denver International Airport,Detroit Metropolitan Airport,1819.4800891402642,9,2672.8336243656067,3341.042030457008,2579.049988422954,2227.3613536380053
Denver International Airport,Philadelphia International Airport,2531.5020200362214,12,3718.800639637367,4648.500799546709,3588.3164066676354,3099.000533031139
Denver International Airport,Salt Lake City International Airport,626.9593057725937,2,921.009206739784,1151.2615084247298,888.6930942225987,767.5076722831532
Denver International Airport,Ronald Reagan Washington National Airport,2397.284944409811,4,3521.634473962093,4402.043092452616,3398.068352068687,2934.6953949684107
Denver International Airport,San Diego International Airport,1364.62240750197,6,2004.643346802148,2505.804183502685,1934.304983756459,1670.5361223351233
Denver International Airport,Baltimore/Washington International Airport,2422.3494775942995,4,3558.454512540358,4448.068140675447,3433.596459468766,2965.3787604502977
Denver International Airport,Tampa International Airport,2451.764415353714,6,3601.6653369792966,4502.08167122412,3475.2911146291463,3001.3877808160796
Denver International Airport,Austin-Bergstrom International Airport,1256.9261156887078,5,1846.4364657837395,2308.045582229674,1781.649221370275,1538.6970548197828
Denver International Airport,Washington Dulles International Airport,2358.737685423255,4,3465.008182439947,4331.260228049934,3343.4289479683707,2887.506818699956
Denver International Airport,Nashville International Airport,1641.5352799949421,4,2411.431000614074,3014.288750767593,2326.81938655744,2009.5258338450615
Denver International Airport,Paris Charles de Gaulle Airport,8117.487734686012,26,11924.666992589204,14905.833740736503,11506.257624428179,9937.222493824336
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,982.0234519364361,41,1442.6018278065053,1803.2522847581317,1391.9842198132949,1202.1681898387544
O'Hare International Airport,Dallas/Fort Worth International Airport,1285.1375170311965,51,1887.8792837341718,2359.8491046677145,1821.6379053575345,1573.232736445143
O'Hare International Airport,Denver International Airport,1418.5833898375206,20,2083.912545102861,2604.890681378576,2010.7928066781994,1736.5937875857173
O'Hare International Airport,Los Angeles International Airport,2769.6268733137367,124,4068.608322851978,5085.760403564972,3925.8501360852424,3390.5069357099815
O'Hare International Airport,John F. Kennedy International Airport,1195.6990906824617,45,1756.4933814195156,2195.616726774394,1694.8620347030414,1463.744484516263
O'Hare International Airport,Harry Reid International Airport,2407.043892076783,15,3535.9704612687924,4419.96307658599,3411.9013222769054,2946.642051057327
O'Hare International Airport,Orlando International Airport,1634.4777955340166,18,2401.0634885521463,3001.3293606901825,2316.815646848562,2000.8862404601216
O'Hare International Airport,Miami International Airport,1949.4543175874012,21,2863.7670070214376,3579.7087587767974,2763.283954143493,2386.472505851198
O'Hare International Airport,Charlotte Douglas International Airport,969.864536370418,18,1424.7402647398649,1780.925330924831,1374.7493782577646,1187.2835539498874
O'Hare International Airport,Seattle-Tacoma International Airport,2730.102437400231,27,4010.546549093508,5013.183186366886,3869.8256175463684,3342.12212424459
O'Hare International Airport,Phoenix Sky Harbor International Airport,2291.4499523226436,33,3366.161860014053,4207.702325017567,3248.0509175574207,2805.1348833450443
O'Hare International Airport,Newark Liberty International Airport,1161.3515722323132,45,1706.0365488468356,2132.5456860585446,1646.1756173083504,1421.6971240390296
O'Hare International Airport,San Francisco International Airport,2927.754955438344,48,4300.899985388833,5376.12498173604,4149.991213971682,3584.0833211573604
O'Hare International Airport,George Bush Intercontinental Airport,1481.4567884828757,48,2176.2741680634367,2720.342710079296,2099.9136709384043,1813.5618067195305
O'Hare International Airport,Logan International Airport,1401.284821786363,33,2058.5007834592598,2573.1259793240743,1986.272685794023,1715.4173195493831
O'Hare International Airport,Fort Lauderdale-Hollywood International Airport,1924.0897104862204,21,2826.506156994278,3533.1326962428475,2727.330502362901,2355.4217974952317
