source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit per flight, percent full
O'Hare International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,44041.700269660694,917.5354222845978,36701.41689138391,0.55
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,26191.214650691676,733.6474692070499,35435.17276270052,0.7058823529411765
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,31739.0183133646,559.7710460910864,15281.749558286661,0.4444444444444444
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,25412.575540141093,627.4710009911381,27294.98854311451,0.6222222222222222
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,22492.6788755764,468.59747657450833,16869.509156682303,0.525
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,18005.151702651732,504.34598606867604,34951.17683455925,0.8823529411764706
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,21506.439628314663,379.3022862136625,18320.3004241199,0.5555555555555556
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,17513.742870979742,432.43809557974674,27892.25716489367,0.7777777777777778
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,15670.959752209776,326.478328171037,18609.264705749112,0.65625
Los Angeles International Airport,Denver International Airport,Boeing 737-600,13754.185894920649,385.2713135832115,2041.9379619910233,0.3445378151260504
Los Angeles International Airport,Denver International Airport,Airbus A200-100,13411.93375825677,331.1588582285622,165.57942911428108,0.3037037037037037
Los Angeles International Airport,O'Hare International Airport,Boeing 737-600,23862.956251694344,668.4301471062843,64369.823166335176,1.1092436974789917
Los Angeles International Airport,O'Hare International Airport,Boeing 767-800,28828.695314617933,508.4425981414098,38285.727640048164,0.6984126984126984
Los Angeles International Airport,O'Hare International Airport,Airbus A200-100,23166.010418301565,572.000257242014,52338.02353764427,0.9777777777777777
Los Angeles International Airport,O'Hare International Airport,Airbus A220-300,20552.463543078622,428.17632381413796,35966.81120038759,0.825
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 737-600,32320.422060473295,905.3339512737618,50970.3014567128,0.773109243697479
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 767-800,39400.52757559162,694.8946662361839,24529.781718137296,0.48677248677248675
Los Angeles International Airport,John F. Kennedy International Airport,Airbus A200-100,31326.72304080757,773.4993343409277,39835.21571855778,0.6814814814814815
Los Angeles International Airport,John F. Kennedy International Airport,Airbus A220-300,27600.35171706108,575.0073274387724,25300.322407305983,0.575
Los Angeles International Airport,Orlando International Airport,Boeing 737-600,29340.482297227107,821.8622492220479,1068.420923988666,0.31092436974789917
Los Angeles International Airport,Miami International Airport,Boeing 737-600,30795.68517406217,862.6242345675679,5434.532677775678,0.35294117647058826
Los Angeles International Airport,Miami International Airport,Airbus A200-100,29855.48569427052,737.1724862782844,1105.7587294174264,0.3111111111111111
Los Angeles International Airport,Charlotte Douglas International Airport,Boeing 737-600,28254.779265422923,791.4503995916787,237.43511987750753,0.3025210084033613
Los Angeles International Airport,Seattle-Tacoma International Airport,Boeing 737-600,14684.065829394769,411.3183705712821,7938.444552025749,0.46218487394957986
Los Angeles International Airport,Seattle-Tacoma International Airport,Airbus A200-100,14309.18632660899,353.31324263232074,5123.0420181686495,0.4074074074074074
Los Angeles International Airport,Seattle-Tacoma International Airport,Airbus A220-300,12903.388191162308,268.8205873158814,1881.74411121117,0.34375
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,8174.196486044581,228.96908924494628,6937.763404121873,0.5546218487394958
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,9217.745607555727,162.57046926906045,1511.9053642022627,0.3492063492063492
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,8027.733451446527,198.21564077645746,5054.498839799666,0.4888888888888889
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,7478.497071703819,155.8020223271629,2804.436401888933,0.4125
Los Angeles International Airport,Newark Liberty International Airport,Boeing 737-600,32075.696524655075,898.4788942480415,50584.361746164745,0.773109243697479
Los Angeles International Airport,Newark Liberty International Airport,Boeing 767-800,39094.62065581885,689.499482465941,24339.33173104772,0.48677248677248675
Los Angeles International Airport,Newark Liberty International Airport,Airbus A200-100,31090.584365895254,767.6687497751915,39534.94061342237,0.6814814814814815
Los Angeles International Airport,Newark Liberty International Airport,Airbus A220-300,27396.4137705459,570.7586202197062,25113.37928966708,0.575
Los Angeles International Airport,San Francisco International Airport,Boeing 737-600,7795.067378046553,218.34922627581383,13384.80757070739,0.8151260504201681
Los Angeles International Airport,San Francisco International Airport,Boeing 767-800,8743.834222558191,154.21224378409508,6214.753424499031,0.5132275132275133
Los Angeles International Airport,San Francisco International Airport,Airbus A200-100,7661.907119167727,189.1828918313019,10688.833388468558,0.7185185185185186
Los Angeles International Airport,San Francisco International Airport,Airbus A220-300,7162.556148372128,149.21991975775265,7311.77606812988,0.60625
Los Angeles International Airport,George Bush Intercontinental Airport,Boeing 737-600,19661.00520098103,550.7284370022699,33759.65318823914,0.8151260504201681
Los Angeles International Airport,George Bush Intercontinental Airport,Boeing 767-800,23576.256501226293,415.80699296695406,16757.021816568253,0.5132275132275133
Los Angeles International Airport,George Bush Intercontinental Airport,Airbus A200-100,19111.49624656065,471.8887962113741,26661.716985942636,0.7185185185185186
Los Angeles International Airport,George Bush Intercontinental Airport,Airbus A220-300,17050.837667484197,355.2257847392541,17406.06345222345,0.60625
Los Angeles International Airport,Logan International Airport,Boeing 737-600,33906.664781590545,949.7665204927325,30677.458611915266,0.5714285714285714
Los Angeles International Airport,Logan International Airport,Boeing 767-800,41383.330976988174,729.8647438622254,8247.47160564315,0.35978835978835977
Los Angeles International Airport,Logan International Airport,Airbus A200-100,32857.308122587376,811.2915585824044,22310.517861016124,0.5037037037037037
Los Angeles International Airport,Logan International Airport,Airbus A220-300,28922.220651325453,602.5462635692803,12050.925271385608,0.425
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,30794.17345960703,862.5818896248469,5434.265904636537,0.35294117647058826
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,29854.02702242784,737.1364696895763,1105.7047045343643,0.3111111111111111
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,21470.75992189402,601.4218465516533,9201.754252240298,0.42857142857142855
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,20857.750801827566,515.0061926377176,5407.5650226960315,0.37777777777777777
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,18558.96660157835,386.6451375328823,1159.9354125986465,0.31875
Los Angeles International Airport,LaGuardia Airport,Boeing 737-600,32256.010295811695,903.5297001627927,50868.722119165235,0.773109243697479
Los Angeles International Airport,LaGuardia Airport,Boeing 767-800,39320.012869764614,693.4746537877357,24479.655278707076,0.48677248677248675
Los Angeles International Airport,LaGuardia Airport,Airbus A200-100,31264.57133806392,771.96472439664,39756.18330642696,0.6814814814814815
