source airport,destination airport,airplane type,flight_hours,total Cost,break even cost per ticket, profit/loss per flight,profit/loss per hour, percent full
O'Hare International Airport,San Francisco International Airport,Airbus A200-100,3.217313137844334,23756.112861636942,586.5706879416529,4399.280159562393,1367.3770537952676,0.35555555555555557
O'Hare International Airport,George Bush Intercontinental Airport,Boeing 737-600,1.5288511749049285,14360.194965564495,402.24635757883743,4947.630198219702,3236.1751617369623,0.40336134453781514
O'Hare International Airport,George Bush Intercontinental Airport,Airbus A200-100,1.6279744928383248,13996.679352737674,345.5970210552512,2591.9776579143854,1592.1488139506105,0.35555555555555557
O'Hare International Airport,LaGuardia Airport,Boeing 737-600,1.2227651070443337,12286.01574437512,344.14609928221626,3200.5587233246115,2617.4763287619467,0.37815126050420167
O'Hare International Airport,LaGuardia Airport,Airbus A200-100,1.302043284314241,11995.278349835644,296.1797123416208,1332.8087055372926,1023.6285702585187,0.3333333333333333
O'Hare International Airport,Philadelphia International Airport,Boeing 737-600,1.1300286823018684,11657.591306135679,326.5431738413356,2057.221995200416,1820.50422915802,0.35294117647058826
O'Hare International Airport,Philadelphia International Airport,Airbus A200-100,1.2032942781873741,11388.903891885304,281.20750350334083,421.81125525501193,350.54704647180955,0.3111111111111111
O'Hare International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,7.090731482093436,52050.040323592824,1457.9843227897152,76252.58008190211,10753.838341568342,0.7394957983193278
O'Hare International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,7.090731482093436,64062.55040449104,1129.8509771515176,35364.335584842505,4987.4030167620585,0.4656084656084656
O'Hare International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,7.550460226536856,50364.07399644923,1243.557382628376,59068.97567484786,7823.228505627243,0.6518518518518519
O'Hare International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,7.550460226536856,44041.700269660694,917.5354222845978,36701.41689138391,4860.818518372306,0.55
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,3.2747515567076833,26191.214650691676,733.6474692070499,35435.17276270052,10820.720946026744,0.7058823529411765
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,3.2747515567076833,31739.0183133646,559.7710460910864,15281.749558286661,4666.537077289118,0.4444444444444444
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,3.4870706136810385,25412.575540141093,627.4710009911381,27294.98854311451,7827.483744099245,0.6222222222222222
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,3.4870706136810385,22492.6788755764,468.59747657450833,16869.509156682303,4837.730870862529,0.525
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,2.0667364568417845,18005.151702651732,504.34598606867604,34951.17683455925,16911.288673916722,0.8823529411764706
Los Angeles International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,2.0667364568417845,21506.439628314663,379.3022862136625,18320.3004241199,8864.362150999876,0.5555555555555556
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,2.200733655691966,17513.742870979742,432.43809557974674,27892.25716489367,12674.072163504783,0.7777777777777778
Los Angeles International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,2.200733655691966,15670.959752209776,326.478328171037,18609.264705749112,8455.936799811376,0.65625
Los Angeles International Airport,Denver International Airport,Boeing 737-600,1.4394225799087526,13754.185894920649,385.2713135832115,2041.9379619910233,1418.5813050955926,0.3445378151260504
Los Angeles International Airport,Denver International Airport,Airbus A200-100,1.5327477801445948,13411.93375825677,331.1588582285622,165.57942911428108,108.02783814742229,0.3037037037037037
Los Angeles International Airport,O'Hare International Airport,Boeing 737-600,2.9311710931526336,23862.956251694344,668.4301471062843,64369.823166335176,21960.445542297544,1.1092436974789917
Los Angeles International Airport,O'Hare International Airport,Boeing 767-800,2.9311710931526336,28828.695314617933,508.4425981414098,38285.727640048164,13061.580652690522,0.6984126984126984
Los Angeles International Airport,O'Hare International Airport,Airbus A200-100,3.121214054137255,23166.010418301565,572.000257242014,52338.02353764427,16768.482593582066,0.9777777777777777
Los Angeles International Airport,O'Hare International Airport,Airbus A220-300,3.121214054137255,20552.463543078622,428.17632381413796,35966.81120038759,11523.340141542869,0.825
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 737-600,4.179237039927548,32320.422060473295,905.3339512737618,50970.3014567128,12196.078128556313,0.773109243697479
Los Angeles International Airport,John F. Kennedy International Airport,Boeing 767-800,4.179237039927548,39400.52757559162,694.8946662361839,24529.781718137296,5869.440159480054,0.48677248677248675
Los Angeles International Airport,John F. Kennedy International Airport,Airbus A200-100,4.450198562296477,31326.72304080757,773.4993343409277,39835.21571855778,8951.3344541645,0.6814814814814815
Los Angeles International Airport,John F. Kennedy International Airport,Airbus A220-300,4.450198562296477,27600.35171706108,575.0073274387724,25300.322407305983,5685.212031134633,0.575
Los Angeles International Airport,Orlando International Airport,Boeing 737-600,3.7394881333357497,29340.482297227107,821.8622492220479,1068.420923988666,285.71314733270685,0.31092436974789917
Los Angeles International Airport,Miami International Airport,Boeing 737-600,3.954232029118516,30795.68517406217,862.6242345675679,5434.532677775678,1374.3585701993197,0.35294117647058826
Los Angeles International Airport,Miami International Airport,Airbus A200-100,4.210605314522903,29855.48569427052,737.1724862782844,1105.7587294174264,262.61277104351876,0.3111111111111111
Los Angeles International Airport,Charlotte Douglas International Airport,Boeing 737-600,3.57927122995808,28254.779265422923,791.4503995916787,237.43511987750753,66.33616304073395,0.3025210084033613
Los Angeles International Airport,Seattle-Tacoma International Airport,Boeing 737-600,1.5766447108692787,14684.065829394769,411.3183705712821,7938.444552025749,5035.02437632186,0.46218487394957986
Los Angeles International Airport,Seattle-Tacoma International Airport,Airbus A200-100,1.6788667305849794,14309.18632660899,353.31324263232074,5123.0420181686495,3051.48820024779,0.4074074074074074
Los Angeles International Airport,Seattle-Tacoma International Airport,Airbus A220-300,1.6788667305849794,12903.388191162308,268.8205873158814,1881.74411121117,1120.8418613164731,0.34375
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,0.6159850488514008,8174.196486044581,228.96908924494628,6937.763404121873,11262.876293926944,0.5546218487394958
Los Angeles International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,0.6159850488514008,9217.745607555727,162.57046926906045,1511.9053642022627,2454.4513978406517,0.3492063492063492
