source airport,destination airport,Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons),Fuel for Boeing 747-400 (Gallons)
O'Hare International Airport,Austin-Bergstrom International Airport,1768.3169035714438,2161.276215476209,1620.9571616071569,1473.5974196428697,4420.792258928609
O'Hare International Airport,Washington Dulles International Airport,1073.8358362881415,1312.466022129951,984.3495165974632,894.8631969067845,2684.589590720354
O'Hare International Airport,Nashville International Airport,748.5454072870239,914.8888311285848,686.1666233464387,623.7878394058532,1871.3635182175597
O'Hare International Airport,Paris Charles de Gaulle Airport,-1,-1,-1,-1,19410.471795436293
Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,3585.7780196053395,4382.617579517637,3286.963184638228,2988.1483496711157,8964.445049013348
Los Angeles International Airport,Dallas/Fort Worth International Airport,2263.0291278373797,2765.92448957902,2074.443367184265,1885.8576065311495,5657.572819593449
Los Angeles International Airport,Denver International Airport,1576.1347871988037,1926.3869621318713,1444.7902215989036,1313.4456559990028,3940.336967997009
Los Angeles International Airport,O'Hare International Airport,3209.5652740436203,3922.8020016088694,2942.1015012066523,2674.6377283696834,8023.913185109051
Los Angeles International Airport,John F. Kennedy International Airport,4576.168926707492,5593.095354864712,4194.821516148534,3813.4741055895756,11440.422316768727
Los Angeles International Airport,Harry Reid International Airport,431.13896236973477,526.9476206741203,395.21071550559026,359.28246864144563,1077.847405924337
Los Angeles International Airport,Orlando International Airport,4094.653936609234,5004.577033633508,3753.432775225131,3412.211613841028,10236.634841523084
Los Angeles International Airport,Miami International Airport,4329.793588582227,5291.9699416005005,3968.9774562003754,3608.1613238185223,10824.483971455567
Los Angeles International Airport,Charlotte Douglas International Airport,3919.220093597807,4790.157892175098,3592.618419131323,3266.016744664839,9798.050233994518
Los Angeles International Airport,Seattle-Tacoma International Airport,1726.389880594758,2110.032076282482,1582.5240572118616,1438.658233828965,4315.974701486895
Los Angeles International Airport,Phoenix Sky Harbor International Airport,674.4895331227837,824.3760960389579,618.2820720292184,562.074610935653,1686.223832806959
Los Angeles International Airport,Newark Liberty International Airport,4536.624834102099,5544.763686124788,4158.572764593591,3780.5206950850825,11341.562085255247
Los Angeles International Airport,San Francisco International Airport,613.2277751049756,749.5006140171924,562.1254605128944,511.02314592081296,1533.069437762439
Los Angeles International Airport,George Bush Intercontinental Airport,2530.5910063310725,3092.944563293533,2319.70842247015,2108.825838609227,6326.477515827681
Los Angeles International Airport,Logan International Airport,4832.48271451378,5906.367762183509,4429.775821637631,4027.0689287614828,12081.206786284449
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,4329.549317479879,5291.6713880309635,3968.7535410232226,3607.9577645665654,10823.873293699697
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,2823.0210873913047,3450.359106811595,2587.7693301086965,2352.517572826087,7057.552718478262
Los Angeles International Airport,LaGuardia Airport,4565.760920946511,5580.374458934625,4185.280844200969,3804.8007674554256,11414.402302366278
Los Angeles International Airport,Detroit Metropolitan Airport,3646.735224413296,4457.120829838473,3342.8406223788547,3038.9460203444132,9116.838061033239
Los Angeles International Airport,Philadelphia International Airport,4437.975761016744,5424.192596798244,4068.144447598683,3698.31313418062,11094.939402541862
Los Angeles International Airport,Salt Lake City International Airport,1077.9171015459776,1317.4542352228616,988.0906764171461,898.2642512883145,2694.7927538649437
Los Angeles International Airport,Ronald Reagan Washington National Airport,4267.898552161482,5216.320452641812,3912.240339481359,3556.582126801235,10669.746380403705
Los Angeles International Airport,San Diego International Airport,-1,-1,-1,-1,-1
Los Angeles International Airport,Baltimore/Washington International Airport,4302.038061553307,5258.046519676264,3943.5348897571985,3585.031717961089,10755.095153883267
Los Angeles International Airport,Tampa International Airport,3982.98511865708,4868.092922803098,3651.0696921023236,3319.1542655475664,9957.4627966427
Los Angeles International Airport,Austin-Bergstrom International Airport,2276.8245504467113,2782.785561657092,2087.089171242819,1897.3537920389258,5692.061376116778
Los Angeles International Airport,Washington Dulles International Airport,4224.692844461566,5163.513476564136,3872.6351074231025,3520.577370384638,10561.732111153913
Los Angeles International Airport,Nashville International Airport,3307.6783199151864,4042.717946563006,3032.0384599222543,2756.398599929322,8269.195799787965
Los Angeles International Airport,Paris Charles de Gaulle Airport,-1,-1,-1,-1,26793.475684794077
John F. Kennedy International Airport,Hartsfield-Jackson Atlanta International Airport,1375.3575223319451,1680.9925272945995,1260.7443954709497,1146.131268609954,3438.3938058298627
John F. Kennedy International Airport,Dallas/Fort Worth International Airport,2503.7227066032797,3060.105530292897,2295.079147719673,2086.435588836066,6259.306766508199
John F. Kennedy International Airport,Denver International Airport,2918.040366481069,3566.4937812546405,2674.8703359409806,2431.700305400891,7295.100916202673
John F. Kennedy International Airport,O'Hare International Airport,1336.789696371875,1633.8540733434027,1225.3905550075522,1113.991413643229,3341.9742409296873
John F. Kennedy International Airport,Los Angeles International Airport,4415.487122856938,5396.706483491814,4047.5298626188605,3679.5726023807815,11038.717807142346
John F. Kennedy International Airport,Harry Reid International Airport,4016.2100087332624,4908.701121785099,3681.525841338824,3346.841673944385,10040.525021833155
John F. Kennedy International Airport,Orlando International Airport,1710.428183365085,2090.523335223993,1567.8925014179947,1425.3568194709042,4276.0704584127125
John F. Kennedy International Airport,Miami International Airport,1971.9971672824695,2410.2187600119073,1807.6640700089304,1643.330972735391,4929.992918206173
John F. Kennedy International Airport,Charlotte Douglas International Airport,981.6586626994268,1199.8050321881885,899.8537741411413,818.0488855828556,2454.1466567485672
John F. Kennedy International Airport,Seattle-Tacoma International Airport,4319.651443176143,5279.573986104175,3959.6804895781315,3599.7095359801187,10799.128607940358
John F. Kennedy International Airport,Phoenix Sky Harbor International Airport,3850.9604611458735,4706.729452511623,3530.047089383718,3209.133717621561,9627.401152864682
John F. Kennedy International Airport,Newark Liberty International Airport,-1,-1,-1,-1,-1
John F. Kennedy International Airport,San Francisco International Airport,4609.337821592446,5633.635115279657,4225.226336459743,3841.114851327038,11523.344553981115
John F. Kennedy International Airport,George Bush Intercontinental Airport,2550.079602976104,3116.763959193016,2337.5729693947624,2125.0663358134198,6375.19900744026
John F. Kennedy International Airport,Logan International Airport,339.47723879876474,414.91662519849024,311.1874688988677,282.8976989989706,848.6930969969118
John F. Kennedy International Airport,Fort Lauderdale-Hollywood International Airport,1934.6666526457416,2364.5925754559066,1773.44443159193,1612.222210538118,4836.666631614354
John F. Kennedy International Airport,Minneapolis-Saint Paul International Airport,1853.1816945545436,2264.9998488999977,1698.7498866749984,1544.3180787954527,4632.954236386358
John F. Kennedy International Airport,LaGuardia Airport,-1,-1,-1,-1,-1
John F. Kennedy International Airport,Detroit Metropolitan Airport,920.244603256636,1124.743403980333,843.5575529852497,766.8705027138632,2300.6115081415896
John F. Kennedy International Airport,Philadelphia International Airport,-1,-1,-1,-1,-1
John F. Kennedy International Airport,Salt Lake City International Airport,3561.4418367264243,4352.873355998963,3264.6550169992224,2967.86819727202,8903.60459181606
John F. Kennedy International Airport,Ronald Reagan Washington National Airport,387.08715091124174,473.1065177804066,354.82988833530493,322.57262575936807,967.7178772781043
John F. Kennedy International Airport,San Diego International Airport,4366.075334710891,5336.314297979979,4002.235723484984,3638.396112259076,10915.188336777228
John F. Kennedy International Airport,Baltimore/Washington International Airport,333.801887174361,407.98008432421904,305.9850632431643,278.1682393119675,834.5047179359025
John F. Kennedy International Airport,Tampa International Airport,1818.9305151686854,2223.137296317282,1667.3529722379617,1515.7754293072378,4547.326287921714
John F. Kennedy International Airport,Austin-Bergstrom International Airport,2735.869412107143,3343.8403925753973,2507.880294431548,2279.8911767559525,6839.673530267857
John F. Kennedy International Airport,Washington Dulles International Airport,413.66782740133925,505.5940112683036,379.1955084512277,344.72318950111605,1034.169568503348
John F. Kennedy International Airport,Nashville International Airport,1383.631136929635,1691.1047229139986,1268.328542185499,1153.0259474413624,3459.077842324087
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,6771.674051810024,-1,-1,5643.061709841686,16929.18512952506
Harry Reid International Airport,Hartsfield-Jackson Atlanta International Airport,3212.5110400064214,3926.4023822300705,2944.801786672553,2677.092533338684,8031.277600016053
Harry Reid International Airport,Dallas/Fort Worth International Airport,1931.0280313134365,2360.1453716053115,1770.1090287039835,1609.1900260945301,4827.570078283591
Harry Reid International Airport,Denver International Airport,1145.9460578303026,1400.6007373481477,1050.450553011111,954.9550481919189,2864.8651445757564
Harry Reid International Airport,O'Hare International Airport,2780.09805744708,3397.8976257686536,2548.42321932649,2316.7483812059,6950.2451436177
Harry Reid International Airport,Los Angeles International Airport,429.666320398088,525.1477249309964,393.86079369824733,358.05526699840664,1074.1658009952198
Harry Reid International Airport,John F. Kennedy International Airport,4148.702226149198,5070.636054182353,3802.977040636765,3457.2518551243315,10371.755565372996
Harry Reid International Airport,Orlando International Airport,3760.473401806324,4596.134157763286,3447.100618322464,3133.727834838603,9401.18350451581
Harry Reid International Airport,Miami International Airport,4015.6425222691796,4908.0075272178865,3681.005645413415,3346.3687685576497,10039.106305672949
Harry Reid International Airport,Charlotte Douglas International Airport,3527.559525108167,4311.461641798871,3233.596231349153,2939.6329375901387,8818.898812770416
Harry Reid International Airport,Seattle-Tacoma International Airport,1568.0681793402932,1916.5277747492476,1437.3958310619357,1306.7234827835778,3920.1704483507333
Harry Reid International Airport,Phoenix Sky Harbor International Airport,465.68188559282555,569.166749057898,426.87506179342347,388.0682379940213,1164.2047139820638
Harry Reid International Airport,Newark Liberty International Airport,4109.169658832289,5022.318471906132,3766.738853929599,3424.3080490269076,10272.924147080723
Harry Reid International Airport,San Francisco International Airport,750.6912892354258,917.5115757321871,688.1336817991404,625.5760743628548,1876.7282230885644
Harry Reid International Airport,George Bush Intercontinental Airport,2239.269958947661,2736.8855053804746,2052.664129035356,1866.0582991230506,5598.174897369152
Harry Reid International Airport,Logan International Airport,4397.846423279841,5375.145628453139,4031.359221339854,3664.8720193998665,10994.616058199601
Harry Reid International Airport,Fort Lauderdale-Hollywood International Airport,4012.3428080019435,4903.974543113487,3677.9809073351153,3343.619006668286,10030.857020004858
Harry Reid International Airport,Minneapolis-Saint Paul International Airport,2384.3330732760473,2914.184867337391,2185.638650503043,1986.944227730039,5960.832683190118
Harry Reid International Airport,LaGuardia Airport,4137.843291207007,5057.364022586342,3793.0230169397564,3448.2027426725053,10344.608228017516
Harry Reid International Airport,Detroit Metropolitan Airport,3216.3223627068305,3931.0606655305705,2948.2954991479282,2680.268635589025,8040.805906767076
Harry Reid International Airport,Philadelphia International Airport,4014.4792141518474,4906.585706185591,3679.9392796391935,3345.399345126539,10036.198035379617
Harry Reid International Airport,Salt Lake City International Airport,670.4640380937235,819.4560465589954,614.5920349192465,558.7200317447695,1676.1600952343085
Harry Reid International Airport,Ronald Reagan Washington National Airport,3850.2861631588803,4705.905310527521,3529.4289828956403,3208.5718026324,9625.7154078972
Harry Reid International Airport,San Diego International Airport,471.35706107839474,576.1030746513713,432.0773059885285,392.7975508986622,1178.3926526959867
Harry Reid International Airport,Baltimore/Washington International Airport,3882.58826956385,4745.385662800261,3559.0392471001965,3235.4902246365414,9706.470673909625
Harry Reid International Airport,Tampa International Airport,3657.4502341518987,4470.216952852321,3352.662714639241,3047.875195126582,9143.625585379747
Harry Reid International Airport,Austin-Bergstrom International Airport,1996.6021966082767,2440.2915736323384,1830.2186802242538,1663.8351638402305,4991.505491520692
Harry Reid International Airport,Washington Dulles International Airport,3806.868336188298,4652.839077563476,3489.629308172607,3172.3902801569147,9517.170840470744
Harry Reid International Airport,Nashville International Airport,2916.067100171495,3564.0820113207164,2673.0615084905376,2430.0559168095792,7290.167750428738
