,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Denver International Airport,O'Hare International Airport,Los Angeles International Airport,John F. Kennedy International Airport,Harry Reid International Airport,Orlando International Airport,Miami International Airport,Charlotte Douglas International Airport,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,San Francisco International Airport,George Bush Intercontinental Airport,Logan International Airport,Fort Lauderdale-Hollywood International Airport,Minneapolis-Saint Paul International Airport,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia International Airport,Salt Lake City International Airport,Ronald Reagan Washington National Airport,San Diego International Airport,Baltimore/Washington International Airport,Tampa International Airport,Austin-Bergstrom International Airport,Washington Dulles International Airport,Nashville International Airport,Paris Charles de Gaulle Airport
Philadelphia International Airport,1072.826819999789,2095.7371371406402,2503.3542996448055,1089.664636961525,3860.448438659964,-1,3497.664986023363,1390.6902749470596,1635.6375613065745,722.5322274869586,3821.6543572163764,3336.1387910892104,-1,4052.4217065637795,2131.1707528708334,450.5163867477221,1602.2528898220087,1575.3509611355496,-1,728.5716624382078,-1,3096.6647587300713,-1,3810.8787668688933,-1,1484.1338423423283,2301.20963497229,-1,1085.3467144477372,5990.4415207833545
Salt Lake City International Airport,2556.978757134749,1591.4957895464424,628.7348588856445,2008.672268341802,949.8503700403774,3197.6233812316254,591.754321664953,3107.4920256240957,3362.5012615483906,2776.815862230546,1107.5320426400863,818.4417818495032,3163.660898127597,962.7172422175773,1924.2877755560887,3383.5716179702363,3353.830893227951,1594.660853230009,3186.588837422999,2381.2493826595323,3096.6647587300713,-1,2975.836348972381,1009.6538197286184,2997.407172377342,3038.1661418966023,1749.1273487793615,2937.9076397278836,2257.7980696442214,8161.625048891577
Ronald Reagan Washington National Airport,880.974915632673,1917.5416594934804,2372.0133383734797,983.9429637644561,3714.8912260996494,343.0814544334883,3356.702154065819,1225.8897733636352,1484.7103356252903,533.3097260782862,3742.1622750224606,3180.858041694402,319.82257945889734,3925.536776864933,1943.0261439422238,642.2005105451309,1451.7557485115415,1495.862264215065,345.2865375336604,651.8476276958118,-1,2975.836348972381,-1,3659.5703948287796,-1,1312.9045821918637,2116.187179701247,-1,903.2520961045576,6182.314067640812
San Diego International Airport,3041.8808864404136,1882.880611247715,1373.0907234936665,2771.7353687994528,-1,3933.244887551419,417.9118862021366,3456.317832253168,3648.454570956243,3339.4957748838597,1694.0698716662707,490.25417839050715,3899.662566213536,719.6769391376284,2096.1130338497373,4161.050030894401,3649.4886161820664,2467.121433042938,3925.0111858201,3146.6600237914417,3810.8787668688933,1009.6538197286184,3659.5703948287796,-1,3690.618109004494,3357.016990647371,1873.288826506664,3623.01169105109,2816.1355488327235,9157.94868078793
Baltimore/Washington International Airport,928.8436259934183,1957.7052343080838,2396.5522873467385,999.3742506236279,3744.123620236432,295.79095818108857,3384.447809734648,1271.1982648606727,1527.4571150496452,581.8274720369769,3752.1883118776614,3213.126836310325,271.8172860467144,3949.1001219061004,1987.5630828257774,594.3487520152227,1494.400176981051,1504.645936434744,297.4956126543951,657.3145118452981,-1,2997.407172377342,-1,3690.618109004494,-1,1359.3790719724373,2159.227861518673,-1,944.7663374076644,6134.543871503948
Tampa International Airport,655.5861055465984,1495.016387115669,2425.3436642303923,1633.2932790956763,3470.640128062103,1621.4716735652898,3190.9272986391697,-1,330.0184872880272,819.4651774338315,4055.564188684322,2876.027679359645,1608.9901706086644,3848.7753353151948,1266.8327177580118,1910.1958077423096,317.07428967861307,2107.033506233591,1629.7451003100234,1586.5189713320183,1484.1338423423283,3038.1661418966023,1312.9045821918637,3357.016990647371,1359.3790719724373,-1,1491.883186078818,1308.7895349730256,987.519468259502,7367.334000629544
Austin-Bergstrom International Airport,1307.0056925632107,306.1037186555633,1249.9090520441305,1576.028511943712,1996.9640913259243,2448.024858219406,1753.089063063366,1598.4434756579456,1775.704751493295,1660.0824626045282,2850.630044828765,1402.585508637201,2418.9496948415067,2419.406918007395,-1,2732.158492765339,1777.5205680407605,1681.1174679748733,2445.889957558184,1850.4451024918053,2301.20963497229,1749.1273487793615,2116.187179701247,1873.288826506664,2159.227861518673,1491.883186078818,-1,2086.4870380634375,1217.039497547605,8213.949481294152
Washington Dulles International Airport,860.5109472095155,1885.2676370532415,2334.264046366618,946.2691539979811,3677.885130051912,366.67925252761574,3319.3981533378865,1224.7019849741607,1488.2514823349911,518.7557850602727,3705.1067515114287,3144.6546059471852,341.30231377903857,3887.7170719972046,1915.1326664938645,663.7256262636312,1455.484574307298,1459.1483059679526,367.46381995262925,616.2409838015209,-1,2937.9076397278836,-1,3623.01169105109,-1,1308.7895349730256,2086.4870380634375,-1,872.0534283306887,6203.6323192566315
Nashville International Airport,344.7906906798478,1015.9772525830078,1629.6073646987622,660.4659647864701,2889.6255714534072,1231.253535105565,2551.336495202037,994.4937019155925,1301.1755049495148,527.8574158365001,3179.880230797259,2328.745244101548,1201.9800942111629,3164.535646314213,1057.077168904018,1515.694291907626,1279.3136974129498,1120.2456498656295,1228.9283202288689,735.8978322256082,1085.3467144477372,2257.7980696442214,903.2520961045576,2816.1355488327235,944.7663374076644,987.519468259502,1217.039497547605,872.0534283306887,-1,7025.651456332669
Paris Charles de Gaulle Airport,7063.268322839994,7952.894560465194,7841.317619920603,6671.031779391582,9111.469102872596,5839.434767016725,8745.056174081537,7246.8554497717705,7378.618576832312,6708.48876481217,8056.775443302172,8808.726610489166,5862.773599469886,8971.089859767784,8079.067508739771,5540.19959813813,7347.58740321275,6780.663031293193,5837.065606558991,6365.363411455958,5990.4415207833545,8161.625048891577,6182.314067640812,9157.94868078793,6134.543871503948,7367.334000629544,8213.949481294152,6203.6323192566315,7025.651456332669,-1
