Origin Airport,Destination Airport,Aircraft,Flight Time (Minutes)
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A220-300,148.0843598485274
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 737-600,173.4128658230228
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 767-800,173.4128658230228
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A200-100,180.01153833091138
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A220-300,180.01153833091138
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,133.07136263835667
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,133.07136263835667
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,136.12221520213922
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,136.12221520213922
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,167.8313495751599
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,167.8313495751599
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,173.93915751184315
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,173.93915751184315
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 737-600,152.93783039324842
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 767-800,152.93783039324842
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A200-100,157.73583278922996
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A220-300,157.73583278922996
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 737-600,134.58395913285793
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 767-800,134.58395913285793
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A200-100,137.7678364871648
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A220-300,137.7678364871648
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 737-600,142.37841905421377
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 767-800,142.37841905421377
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A200-100,146.24777756761222
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A220-300,146.24777756761222
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 737-600,247.96599011131445
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 767-800,247.96599011131445
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A200-100,260.27365471200955
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A220-300,260.27365471200955
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,129.19479993278273
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,129.19479993278273
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,131.90472949182606
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,131.90472949182606
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 737-600,280.1668047486046
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 767-800,280.1668047486046
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A200-100,295.30635917412064
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A220-300,295.30635917412064
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 737-600,132.48211818687852
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 767-800,132.48211818687852
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A200-100,135.48114984534334
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A220-300,135.48114984534334
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 737-600,113.73537564528866
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 767-800,113.73537564528866
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A200-100,115.08573132924606
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A220-300,115.08573132924606
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 737-600,157.4558351157827
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 767-800,157.4558351157827
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A200-100,162.6511719191808
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A220-300,162.6511719191808
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 737-600,127.78989272205705
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 767-800,127.78989272205705
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A200-100,130.37626818845752
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A220-300,130.37626818845752
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 737-600,85.55624868823514
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 767-800,85.55624868823514
