type (arrival/departure),airport,arrival/departure time,aircraft flight number,number of passengers,aircraft tail number
departure,Newark Liberty International Airport,2382,567,68,N00025
arrival,Minneapolis-Saint Paul International Airport,2573,567,68,N00025
departure,Minneapolis-Saint Paul International Airport,2599,630,60,N00025
arrival,Hartsfield-Jackson Atlanta International Airport,2783,630,60,N00025
departure,Hartsfield-Jackson Atlanta International Airport,2809,689,30,N00025
arrival,Austin-Bergstrom International Airport,2981,689,30,N00025
departure,Austin-Bergstrom International Airport,3017,737,60,N00025
arrival,Los Angeles International Airport,3233,737,60,N00025
departure,Los Angeles International Airport,3269,802,92,N00025
arrival,John F. Kennedy International Airport,3633,802,92,N00025
departure,John F. Kennedy International Airport,3669,899,36,N00025
arrival,Charlotte Douglas International Airport,3810,899,36,N00025
departure,Charlotte Douglas International Airport,3836,951,20,N00025
arrival,Miami International Airport,3989,951,20,N00025
departure,Miami International Airport,4015,1000,64,N00025
arrival,Dallas/Fort Worth International Airport,4220,1000,64,N00025
departure,Dallas/Fort Worth International Airport,4256,1059,51,N00025
arrival,San Diego International Airport,4467,1059,51,N00025
departure,San Diego International Airport,4493,1118,11,N00025
arrival,Phoenix Sky Harbor International Airport,4601,1118,11,N00025
departure,Phoenix Sky Harbor International Airport,4627,1155,12,N00025
arrival,Salt Lake City International Airport,4807,1155,12,N00025
departure,Salt Lake City International Airport,4833,1211,9,N00025
arrival,San Diego International Airport,4983,1211,9,N00025
departure,San Diego International Airport,5019,1255,17,N00025
arrival,Dallas/Fort Worth International Airport,null,1255,17,N00025
departure,Denver International Airport,35,26,16,N00026
arrival,Harry Reid International Airport,187,26,16,N00026
departure,Harry Reid International Airport,213,63,112,N00026
arrival,Los Angeles International Airport,314,63,112,N00026
departure,Los Angeles International Airport,350,106,179,N00026
arrival,LaGuardia Airport,714,106,179,N00026
departure,LaGuardia Airport,740,185,40,N00026
arrival,Baltimore/Washington International Airport,828,185,40,N00026
departure,Baltimore/Washington International Airport,854,215,36,N00026
arrival,Newark Liberty International Airport,940,215,36,N00026
departure,Newark Liberty International Airport,976,239,40,N00026
arrival,Baltimore/Washington International Airport,1062,239,40,N00026
departure,Baltimore/Washington International Airport,1088,270,36,N00026
arrival,LaGuardia Airport,1176,270,36,N00026
departure,LaGuardia Airport,1202,302,80,N00026
arrival,Detroit Metropolitan Airport,1338,302,80,N00026
departure,Detroit Metropolitan Airport,1364,343,24,N00026
arrival,Ronald Reagan Washington National Airport,1490,343,24,N00026
departure,Ronald Reagan Washington National Airport,1516,374,27,N00026
arrival,Newark Liberty International Airport,1606,374,27,N00026
departure,Newark Liberty International Airport,1632,403,30,N00026
arrival,Ronald Reagan Washington National Airport,1722,403,30,N00026
departure,Ronald Reagan Washington National Airport,1748,430,21,N00026
arrival,Logan International Airport,1873,430,21,N00026
departure,Logan International Airport,1899,462,63,N00026
arrival,Philadelphia International Airport,2004,462,63,N00026
departure,Philadelphia International Airport,2030,487,78,N00026
arrival,Hartsfield-Jackson Atlanta International Airport,2186,487,78,N00026
departure,Hartsfield-Jackson Atlanta International Airport,2222,527,84,N00026
arrival,John F. Kennedy International Airport,2389,527,84,N00026
departure,John F. Kennedy International Airport,2415,580,84,N00026
arrival,Hartsfield-Jackson Atlanta International Airport,2581,580,84,N00026
departure,Hartsfield-Jackson Atlanta International Airport,2607,632,39,N00026
arrival,Miami International Airport,2756,632,39,N00026
departure,Miami International Airport,2782,679,20,N00026
arrival,Charlotte Douglas International Airport,2949,679,20,N00026
departure,Charlotte Douglas International Airport,2985,729,20,N00026
arrival,Orlando International Airport,3118,729,20,N00026
departure,Orlando International Airport,3144,776,68,N00026
arrival,O'Hare International Airport,3337,776,68,N00026
departure,O'Hare International Airport,3363,832,66,N00026
arrival,Logan International Airport,3542,832,66,N00026
departure,Logan International Airport,3568,882,44,N00026
arrival,Newark Liberty International Airport,3665,882,44,N00026
departure,Newark Liberty International Airport,3701,911,45,N00026
arrival,Tampa International Airport,3891,911,45,N00026
departure,Tampa International Airport,3917,972,56,N00026
arrival,Newark Liberty International Airport,4109,972,56,N00026
departure,Newark Liberty International Airport,4145,1032,42,N00026
arrival,Fort Lauderdale-Hollywood International Airport,4343,1032,42,N00026
departure,Fort Lauderdale-Hollywood International Airport,4369,1090,26,N00026
arrival,Hartsfield-Jackson Atlanta International Airport,4516,1090,26,N00026
departure,Hartsfield-Jackson Atlanta International Airport,4552,1129,40,N00026
arrival,Phoenix Sky Harbor International Airport,4814,1129,40,N00026
departure,Phoenix Sky Harbor International Airport,4840,1212,32,N00026
arrival,O'Hare International Airport,null,1212,32,N00026
departure,O'Hare International Airport,35,27,189,N00027
arrival,George Bush Intercontinental Airport,220,27,189,N00027
departure,George Bush Intercontinental Airport,246,82,148,N00027
arrival,Dallas/Fort Worth International Airport,347,82,148,N00027
departure,Dallas/Fort Worth International Airport,373,112,92,N00027
arrival,Detroit Metropolitan Airport,565,112,92,N00027
departure,Detroit Metropolitan Airport,601,153,81,N00027
arrival,Los Angeles International Airport,903,153,81,N00027
departure,Los Angeles International Airport,929,233,104,N00027
arrival,Phoenix Sky Harbor International Airport,1051,233,104,N00027
departure,Phoenix Sky Harbor International Airport,1077,267,40,N00027
arrival,Denver International Airport,1227,267,40,N00027
departure,Denver International Airport,1263,314,48,N00027
arrival,Philadelphia International Airport,1526,314,48,N00027
departure,Philadelphia International Airport,1552,385,63,N00027
arrival,Logan International Airport,1657,385,63,N00027
departure,Logan International Airport,1683,417,66,N00027
arrival,John F. Kennedy International Airport,1771,417,66,N00027
departure,John F. Kennedy International Airport,1797,442,80,N00027
arrival,Detroit Metropolitan Airport,1934,442,80,N00027
departure,Detroit Metropolitan Airport,1960,479,24,N00027
arrival,Baltimore/Washington International Airport,2086,479,24,N00027
departure,Baltimore/Washington International Airport,2122,509,42,N00027
arrival,O'Hare International Airport,2274,509,42,N00027
departure,O'Hare International Airport,2300,550,42,N00027
arrival,Ronald Reagan Washington National Airport,2451,550,42,N00027
departure,Ronald Reagan Washington National Airport,2477,598,36,N00027
arrival,Hartsfield-Jackson Atlanta International Airport,2620,598,36,N00027
departure,Hartsfield-Jackson Atlanta International Airport,2646,639,63,N00027
arrival,Logan International Airport,2834,639,63,N00027
departure,Logan International Airport,2870,701,36,N00027
arrival,Charlotte Douglas International Airport,3031,701,36,N00027
departure,Charlotte Douglas International Airport,3057,746,24,N00027
arrival,Tampa International Airport,3194,746,24,N00027
departure,Tampa International Airport,3220,792,14,N00027
arrival,Fort Lauderdale-Hollywood International Airport,3309,792,14,N00027
departure,Fort Lauderdale-Hollywood International Airport,3345,824,76,N00027
arrival,Los Angeles International Airport,3686,824,76,N00027
departure,Los Angeles International Airport,3722,918,5,N00027
arrival,George Bush Intercontinental Airport,3956,918,5,N00027
departure,George Bush Intercontinental Airport,3982,990,54,N00027
arrival,Minneapolis-Saint Paul International Airport,4178,990,54,N00027
departure,Minneapolis-Saint Paul International Airport,4214,1047,68,N00027
arrival,LaGuardia Airport,4408,1047,68,N00027
departure,LaGuardia Airport,4434,1104,42,N00027
arrival,Fort Lauderdale-Hollywood International Airport,4633,1104,42,N00027
departure,Fort Lauderdale-Hollywood International Airport,4669,1164,40,N00027
arrival,O'Hare International Airport,4882,1164,40,N00027
departure,O'Hare International Airport,4908,1228,33,N00027
arrival,Phoenix Sky Harbor International Airport,null,1228,33,N00027
departure,Hartsfield-Jackson Atlanta International Airport,35,28,128,N00028
arrival,Dallas/Fort Worth International Airport,200,28,128,N00028
departure,Dallas/Fort Worth International Airport,226,67,104,N00028
arrival,Phoenix Sky Harbor International Airport,404,67,104,N00028
departure,Phoenix Sky Harbor International Airport,430,126,28,N00028
arrival,Harry Reid International Airport,533,126,28,N00028
departure,Harry Reid International Airport,559,146,20,N00028
arrival,San Diego International Airport,662,146,20,N00028
departure,San Diego International Airport,688,172,64,N00028
arrival,San Francisco International Airport,818,172,64,N00028
departure,San Francisco International Airport,844,211,64,N00028
arrival,San Diego International Airport,975,211,64,N00028
departure,San Diego International Airport,1011,245,12,N00028
arrival,Salt Lake City International Airport,1206,245,12,N00028
departure,Salt Lake City International Airport,1232,306,8,N00028
arrival,Denver International Airport,1358,306,8,N00028
departure,Denver International Airport,1384,348,52,N00028
arrival,John F. Kennedy International Airport,1654,348,52,N00028
departure,John F. Kennedy International Airport,1690,415,125,N00028
arrival,Los Angeles International Airport,2044,415,125,N00028
departure,Los Angeles International Airport,2080,497,1,N00028
arrival,Detroit Metropolitan Airport,2388,497,1,N00028
departure,Detroit Metropolitan Airport,2414,579,24,N00028
arrival,Nashville International Airport,2545,579,24,N00028
departure,Nashville International Airport,2581,621,40,N00028
arrival,George Bush Intercontinental Airport,2734,621,40,N00028
departure,George Bush Intercontinental Airport,2760,671,52,N00028
arrival,Orlando International Airport,2936,671,52,N00028
departure,Orlando International Airport,2962,725,52,N00028
arrival,George Bush Intercontinental Airport,3136,725,52,N00028
departure,George Bush Intercontinental Airport,3172,782,53,N00028
arrival,Newark Liberty International Airport,3408,782,53,N00028
departure,Newark Liberty International Airport,3434,846,56,N00028
arrival,Hartsfield-Jackson Atlanta International Airport,3599,846,56,N00028
departure,Hartsfield-Jackson Atlanta International Airport,3635,891,60,N00028
arrival,San Francisco International Airport,3956,891,60,N00028
departure,San Francisco International Airport,3992,991,72,N00028
arrival,Minneapolis-Saint Paul International Airport,4256,991,72,N00028
departure,Minneapolis-Saint Paul International Airport,4282,1070,28,N00028
arrival,Charlotte Douglas International Airport,4466,1070,28,N00028
departure,Charlotte Douglas International Airport,4502,1117,42,N00028
arrival,Dallas/Fort Worth International Airport,4687,1117,42,N00028
departure,Dallas/Fort Worth International Airport,4713,1179,20,N00028
arrival,Philadelphia International Airport,4941,1179,20,N00028
departure,Philadelphia International Airport,4977,1242,52,N00028
arrival,Miami International Airport,null,1242,52,N00028
departure,Dallas/Fort Worth International Airport,35,29,52,N00029
arrival,Austin-Bergstrom International Airport,126,29,52,N00029
departure,Austin-Bergstrom International Airport,152,55,48,N00029
arrival,Dallas/Fort Worth International Airport,243,55,48,N00029
departure,Dallas/Fort Worth International Airport,269,85,44,N00029
arrival,Nashville International Airport,422,85,44,N00029
departure,Nashville International Airport,448,129,52,N00029
arrival,O'Hare International Airport,577,129,52,N00029
departure,O'Hare International Airport,603,156,56,N00029
arrival,Nashville International Airport,732,156,56,N00029
departure,Nashville International Airport,758,192,16,N00029
arrival,Charlotte Douglas International Airport,869,192,16,N00029
departure,Charlotte Douglas International Airport,895,227,16,N00029
arrival,Nashville International Airport,1005,227,16,N00029
departure,Nashville International Airport,1031,252,24,N00029
arrival,Detroit Metropolitan Airport,1163,252,24,N00029
departure,Detroit Metropolitan Airport,1199,295,24,N00029
arrival,Washington Dulles International Airport,1323,295,24,N00029
departure,Washington Dulles International Airport,1349,338,24,N00029
arrival,Detroit Metropolitan Airport,1472,338,24,N00029
departure,Detroit Metropolitan Airport,1498,372,60,N00029
arrival,Newark Liberty International Airport,1633,372,60,N00029
departure,Newark Liberty International Airport,1659,409,30,N00029
arrival,Washington Dulles International Airport,1757,409,30,N00029
departure,Washington Dulles International Airport,1783,437,56,N00029
arrival,O'Hare International Airport,1931,437,56,N00029
departure,O'Hare International Airport,1957,478,87,N00029
arrival,Detroit Metropolitan Airport,2060,478,87,N00029
departure,Detroit Metropolitan Airport,2086,502,44,N00029
arrival,Minneapolis-Saint Paul International Airport,2225,502,44,N00029
departure,Minneapolis-Saint Paul International Airport,2261,540,72,N00029
arrival,O'Hare International Airport,2375,540,72,N00029
departure,O'Hare International Airport,2401,578,54,N00029
arrival,Orlando International Airport,2596,578,54,N00029
departure,Orlando International Airport,2622,635,15,N00029
arrival,Charlotte Douglas International Airport,2755,635,15,N00029
departure,Charlotte Douglas International Airport,2781,678,32,N00029
arrival,Detroit Metropolitan Airport,2917,678,32,N00029
departure,Detroit Metropolitan Airport,2953,722,66,N00029
arrival,Dallas/Fort Worth International Airport,3144,722,66,N00029
departure,Dallas/Fort Worth International Airport,3170,783,34,N00029
arrival,Los Angeles International Airport,3387,783,34,N00029
departure,Los Angeles International Airport,3423,843,189,N00029
arrival,George Bush Intercontinental Airport,3657,843,189,N00029
departure,George Bush Intercontinental Airport,3683,907,48,N00029
arrival,Tampa International Airport,3851,907,48,N00029
departure,Tampa International Airport,3887,961,52,N00029
arrival,Philadelphia International Airport,4070,961,52,N00029
departure,Philadelphia International Airport,4096,1021,44,N00029
arrival,Orlando International Airport,4272,1021,44,N00029
departure,Orlando International Airport,4298,1074,48,N00029
arrival,Newark Liberty International Airport,4483,1074,48,N00029
departure,Newark Liberty International Airport,4519,1122,35,N00029
arrival,Dallas/Fort Worth International Airport,4751,1122,35,N00029
departure,Dallas/Fort Worth International Airport,4777,1193,28,N00029
arrival,Orlando International Airport,4969,1193,28,N00029
departure,Orlando International Airport,5005,1251,48,N00029
arrival,LaGuardia Airport,null,1251,48,N00029
departure,Denver International Airport,35,30,56,N00030
arrival,George Bush Intercontinental Airport,219,30,56,N00030
departure,George Bush Intercontinental Airport,245,81,36,N00030
arrival,Los Angeles International Airport,487,81,36,N00030
departure,Los Angeles International Airport,523,139,135,N00030
arrival,Hartsfield-Jackson Atlanta International Airport,846,139,135,N00030
departure,Hartsfield-Jackson Atlanta International Airport,872,220,84,N00030
arrival,Logan International Airport,1067,220,84,N00030
departure,Logan International Airport,1093,271,28,N00030
arrival,Baltimore/Washington International Airport,1216,271,28,N00030
departure,Baltimore/Washington International Airport,1252,308,56,N00030
arrival,O'Hare International Airport,1407,308,56,N00030
departure,O'Hare International Airport,1433,359,88,N00030
arrival,San Diego International Airport,1724,359,88,N00030
departure,San Diego International Airport,1750,432,33,N00030
arrival,Phoenix Sky Harbor International Airport,1859,432,33,N00030
departure,Phoenix Sky Harbor International Airport,1895,458,96,N00030
arrival,O'Hare International Airport,2150,458,96,N00030
departure,O'Hare International Airport,2176,520,99,N00030
arrival,Phoenix Sky Harbor International Airport,2427,520,99,N00030
departure,Phoenix Sky Harbor International Airport,2453,591,21,N00030
arrival,Harry Reid International Airport,2556,591,21,N00030
departure,Harry Reid International Airport,2592,625,33,N00030
arrival,San Francisco International Airport,2720,625,33,N00030
departure,San Francisco International Airport,2746,667,132,N00030
arrival,LaGuardia Airport,3144,667,132,N00030
departure,LaGuardia Airport,3180,784,88,N00030
arrival,O'Hare International Airport,3348,784,88,N00030
departure,O'Hare International Airport,3374,833,50,N00030
arrival,Minneapolis-Saint Paul International Airport,3488,833,50,N00030
departure,Minneapolis-Saint Paul International Airport,3514,868,22,N00030
arrival,Detroit Metropolitan Airport,3656,868,22,N00030
departure,Detroit Metropolitan Airport,3682,906,40,N00030
arrival,John F. Kennedy International Airport,3822,906,40,N00030
departure,John F. Kennedy International Airport,3858,955,86,N00030
arrival,San Francisco International Airport,4246,955,86,N00030
departure,San Francisco International Airport,4282,1066,90,N00030
arrival,Philadelphia International Airport,4673,1066,90,N00030
departure,Philadelphia International Airport,4699,1174,41,N00030
arrival,O'Hare International Airport,4861,1174,41,N00030
departure,O'Hare International Airport,4897,1222,45,N00030
arrival,Newark Liberty International Airport,null,1222,45,N00030
departure,O'Hare International Airport,35,31,135,N00031
arrival,San Francisco International Airport,340,31,135,N00031
departure,San Francisco International Airport,376,110,135,N00031
arrival,O'Hare International Airport,687,110,135,N00031
departure,O'Hare International Airport,713,176,80,N00031
arrival,Denver International Airport,901,176,80,N00031
departure,Denver International Airport,937,231,16,N00031
arrival,Nashville International Airport,1140,231,16,N00031
departure,Nashville International Airport,1166,293,44,N00031
arrival,Dallas/Fort Worth International Airport,1322,293,44,N00031
departure,Dallas/Fort Worth International Airport,1348,337,28,N00031
arrival,Salt Lake City International Airport,1546,337,28,N00031
departure,Salt Lake City International Airport,1572,389,45,N00031
arrival,Los Angeles International Airport,1721,389,45,N00031
departure,Los Angeles International Airport,1757,429,135,N00031
arrival,John F. Kennedy International Airport,2143,429,135,N00031
departure,John F. Kennedy International Airport,2179,518,105,N00031
arrival,Dallas/Fort Worth International Airport,2424,518,105,N00031
departure,Dallas/Fort Worth International Airport,2450,590,39,N00031
arrival,Austin-Bergstrom International Airport,2540,590,39,N00031
departure,Austin-Bergstrom International Airport,2566,620,90,N00031
arrival,Los Angeles International Airport,2792,620,90,N00031
departure,Los Angeles International Airport,2828,690,129,N00031
arrival,Tampa International Airport,3175,690,129,N00031
departure,Tampa International Airport,3211,789,78,N00031
arrival,Los Angeles International Airport,3550,789,78,N00031
departure,Los Angeles International Airport,3586,883,126,N00031
arrival,Miami International Airport,3955,883,126,N00031
departure,Miami International Airport,3991,989,60,N00031
arrival,George Bush Intercontinental Airport,4184,989,60,N00031
departure,George Bush Intercontinental Airport,4210,1050,72,N00031
arrival,Logan International Airport,4488,1050,72,N00031
departure,Logan International Airport,4524,1124,42,N00031
arrival,Hartsfield-Jackson Atlanta International Airport,4717,1124,42,N00031
departure,Hartsfield-Jackson Atlanta International Airport,4743,1185,77,N00031
arrival,Los Angeles International Airport,null,1185,77,N00031
departure,Hartsfield-Jackson Atlanta International Airport,35,32,120,N00032
arrival,George Bush Intercontinental Airport,198,32,120,N00032
departure,George Bush Intercontinental Airport,224,66,135,N00032
arrival,Los Angeles International Airport,466,66,135,N00032
departure,Los Angeles International Airport,492,138,125,N00032
arrival,Dallas/Fort Worth International Airport,721,138,125,N00032
departure,Dallas/Fort Worth International Airport,757,187,104,N00032
arrival,Logan International Airport,1033,187,104,N00032
departure,Logan International Airport,1059,261,128,N00032
arrival,O'Hare International Airport,1243,261,128,N00032
departure,O'Hare International Airport,1279,318,64,N00032
arrival,Austin-Bergstrom International Airport,1476,318,64,N00032
departure,Austin-Bergstrom International Airport,1502,373,36,N00032
arrival,Dallas/Fort Worth International Airport,1592,373,36,N00032
departure,Dallas/Fort Worth International Airport,1618,399,21,N00032
arrival,Los Angeles International Airport,1871,399,21,N00032
departure,Los Angeles International Airport,1907,461,21,N00032
arrival,George Bush Intercontinental Airport,2152,461,21,N00032
departure,George Bush Intercontinental Airport,2178,521,124,N00032
arrival,Philadelphia International Airport,2416,521,124,N00032
departure,Philadelphia International Airport,2442,588,57,N00032
arrival,Detroit Metropolitan Airport,2575,588,57,N00032
departure,Detroit Metropolitan Airport,2611,631,54,N00032
arrival,Philadelphia International Airport,2744,631,54,N00032
departure,Philadelphia International Airport,2770,674,1,N00032
arrival,San Francisco International Airport,3150,674,1,N00032
departure,San Francisco International Airport,3186,785,70,N00032
arrival,George Bush Intercontinental Airport,3469,785,70,N00032
departure,George Bush Intercontinental Airport,3495,863,72,N00032
arrival,Phoenix Sky Harbor International Airport,3693,863,72,N00032
departure,Phoenix Sky Harbor International Airport,3719,921,20,N00032
arrival,Denver International Airport,3872,921,20,N00032
departure,Denver International Airport,3908,965,30,N00032
arrival,Dallas/Fort Worth International Airport,4068,965,30,N00032
departure,Dallas/Fort Worth International Airport,4094,1020,34,N00032
arrival,Tampa International Airport,4286,1020,34,N00032
departure,Tampa International Airport,4312,1077,12,N00032
arrival,Nashville International Airport,4464,1077,12,N00032
departure,Nashville International Airport,4490,1115,4,N00032
arrival,Charlotte Douglas International Airport,4601,1115,4,N00032
departure,Charlotte Douglas International Airport,4627,1156,11,N00032
arrival,Hartsfield-Jackson Atlanta International Airport,4728,1156,11,N00032
departure,Hartsfield-Jackson Atlanta International Airport,4764,1188,32,N00032
arrival,Dallas/Fort Worth International Airport,4934,1188,32,N00032
departure,Dallas/Fort Worth International Airport,4960,1241,35,N00032
arrival,John F. Kennedy International Airport,null,1241,35,N00032
departure,Dallas/Fort Worth International Airport,35,33,135,N00033
arrival,San Francisco International Airport,289,33,135,N00033
departure,San Francisco International Airport,315,98,135,N00033
arrival,Los Angeles International Airport,428,98,135,N00033
departure,Los Angeles International Airport,464,130,16,N00033
arrival,Philadelphia International Airport,841,130,16,N00033
departure,Philadelphia International Airport,867,219,104,N00033
arrival,Hartsfield-Jackson Atlanta International Airport,1027,219,104,N00033
departure,Hartsfield-Jackson Atlanta International Airport,1063,256,80,N00033
arrival,Phoenix Sky Harbor International Airport,1337,256,80,N00033
departure,Phoenix Sky Harbor International Airport,1363,342,92,N00033
arrival,George Bush Intercontinental Airport,1563,342,92,N00033
departure,George Bush Intercontinental Airport,1599,391,105,N00033
arrival,San Francisco International Airport,1877,391,105,N00033
departure,San Francisco International Airport,1903,464,111,N00033
arrival,Dallas/Fort Worth International Airport,2160,464,111,N00033
departure,Dallas/Fort Worth International Airport,2196,522,86,N00033
arrival,Philadelphia International Airport,2434,522,86,N00033
departure,Philadelphia International Airport,2460,594,33,N00033
arrival,Charlotte Douglas International Airport,2592,594,33,N00033
departure,Charlotte Douglas International Airport,2618,633,33,N00033
arrival,Philadelphia International Airport,2751,633,33,N00033
departure,Philadelphia International Airport,2777,676,36,N00033
arrival,Nashville International Airport,2954,676,36,N00033
departure,Nashville International Airport,2980,731,16,N00033
arrival,Hartsfield-Jackson Atlanta International Airport,3080,731,16,N00033
departure,Hartsfield-Jackson Atlanta International Airport,3116,759,40,N00033
arrival,O'Hare International Airport,3271,759,40,N00033
departure,O'Hare International Airport,3297,813,82,N00033
arrival,Hartsfield-Jackson Atlanta International Airport,3453,813,82,N00033
departure,Hartsfield-Jackson Atlanta International Airport,3479,858,52,N00033
arrival,Philadelphia International Airport,3640,858,52,N00033
departure,Philadelphia International Airport,3676,901,78,N00033
arrival,Los Angeles International Airport,4043,901,78,N00033
departure,Los Angeles International Airport,4069,1011,62,N00033
arrival,Harry Reid International Airport,4170,1011,62,N00033
departure,Harry Reid International Airport,4196,1043,8,N00033
arrival,Denver International Airport,4352,1043,8,N00033
departure,Denver International Airport,4388,1092,36,N00033
arrival,Los Angeles International Airport,4571,1092,36,N00033
departure,Los Angeles International Airport,4597,1150,78,N00033
arrival,Denver International Airport,4781,1150,78,N00033
departure,Denver International Airport,4807,1200,38,N00033
arrival,O'Hare International Airport,4997,1200,38,N00033
departure,O'Hare International Airport,5033,1258,33,N00033
arrival,Logan International Airport,null,1258,33,N00033
departure,Denver International Airport,35,34,56,N00034
arrival,San Francisco International Airport,230,34,56,N00034
departure,San Francisco International Airport,256,84,135,N00034
arrival,Los Angeles International Airport,369,84,135,N00034
departure,Los Angeles International Airport,405,117,135,N00034
arrival,Philadelphia International Airport,782,117,135,N00034
departure,Philadelphia International Airport,808,205,84,N00034
arrival,Logan International Airport,914,205,84,N00034
departure,Logan International Airport,940,236,88,N00034
arrival,John F. Kennedy International Airport,1028,236,88,N00034
departure,John F. Kennedy International Airport,1064,257,132,N00034
arrival,George Bush Intercontinental Airport,1310,257,132,N00034
departure,George Bush Intercontinental Airport,1336,335,13,N00034
arrival,LaGuardia Airport,1585,335,13,N00034
departure,LaGuardia Airport,1621,397,135,N00034
arrival,Los Angeles International Airport,1995,397,135,N00034
departure,Los Angeles International Airport,2031,486,135,N00034
arrival,Minneapolis-Saint Paul International Airport,2302,486,135,N00034
departure,Minneapolis-Saint Paul International Airport,2328,555,57,N00034
arrival,Dallas/Fort Worth International Airport,2510,555,57,N00034
departure,Dallas/Fort Worth International Airport,2546,611,69,N00034
arrival,Detroit Metropolitan Airport,2745,611,69,N00034
departure,Detroit Metropolitan Airport,2771,675,88,N00034
arrival,Dallas/Fort Worth International Airport,2969,675,88,N00034
departure,Dallas/Fort Worth International Airport,2995,734,68,N00034
arrival,O'Hare International Airport,3175,734,68,N00034
departure,O'Hare International Airport,3211,790,124,N00034
arrival,Los Angeles International Airport,3504,790,124,N00034
departure,Los Angeles International Airport,3530,870,66,N00034
arrival,Phoenix Sky Harbor International Airport,3653,870,66,N00034
departure,Phoenix Sky Harbor International Airport,3679,905,50,N00034
arrival,Dallas/Fort Worth International Airport,3864,905,50,N00034
departure,Dallas/Fort Worth International Airport,3900,964,33,N00034
arrival,Nashville International Airport,4056,964,33,N00034
departure,Nashville International Airport,4082,1014,30,N00034
arrival,George Bush Intercontinental Airport,4239,1014,30,N00034
departure,George Bush Intercontinental Airport,4265,1064,39,N00034
arrival,Orlando International Airport,4446,1064,39,N00034
departure,Orlando International Airport,4472,1111,6,N00034
arrival,Fort Lauderdale-Hollywood International Airport,4559,1111,6,N00034
departure,Fort Lauderdale-Hollywood International Airport,4585,1146,6,N00034
arrival,Orlando International Airport,4672,1146,6,N00034
departure,Orlando International Airport,4698,1173,6,N00034
arrival,Miami International Airport,4787,1173,6,N00034
departure,Miami International Airport,4813,1204,7,N00034
arrival,Tampa International Airport,4910,1204,7,N00034
departure,Tampa International Airport,4936,1232,7,N00034
arrival,Fort Lauderdale-Hollywood International Airport,5025,1232,7,N00034
departure,Fort Lauderdale-Hollywood International Airport,null,1267,30,N00034
arrival,George Bush Intercontinental Airport,null,1267,30,N00034
departure,O'Hare International Airport,35,35,57,N00035
arrival,San Francisco International Airport,340,35,57,N00035
departure,San Francisco International Airport,376,111,53,N00035
arrival,O'Hare International Airport,687,111,53,N00035
departure,O'Hare International Airport,713,177,56,N00035
arrival,Ronald Reagan Washington National Airport,867,177,56,N00035
departure,Ronald Reagan Washington National Airport,893,225,36,N00035
arrival,Newark Liberty International Airport,982,225,36,N00035
departure,Newark Liberty International Airport,1018,246,112,N00035
arrival,Hartsfield-Jackson Atlanta International Airport,1187,246,112,N00035
departure,Hartsfield-Jackson Atlanta International Airport,1213,304,68,N00035
arrival,Seattle-Tacoma International Airport,1556,304,68,N00035
departure,Seattle-Tacoma International Airport,1592,390,110,N00035
arrival,Los Angeles International Airport,1786,390,110,N00035
departure,Los Angeles International Airport,1822,445,135,N00035
arrival,Newark Liberty International Airport,2205,445,135,N00035
departure,Newark Liberty International Airport,2241,532,99,N00035
arrival,George Bush Intercontinental Airport,2485,532,99,N00035
departure,George Bush Intercontinental Airport,2511,604,60,N00035
arrival,Denver International Airport,2694,604,60,N00035
departure,Denver International Airport,2720,663,6,N00035
arrival,Salt Lake City International Airport,2857,663,6,N00035
departure,Salt Lake City International Airport,2893,708,24,N00035
arrival,Dallas/Fort Worth International Airport,3093,708,24,N00035
departure,Dallas/Fort Worth International Airport,3119,769,70,N00035
arrival,Newark Liberty International Airport,3365,769,70,N00035
departure,Newark Liberty International Airport,3391,838,88,N00035
arrival,O'Hare International Airport,3557,838,88,N00035
departure,O'Hare International Airport,3593,884,36,N00035
arrival,Charlotte Douglas International Airport,3746,884,36,N00035
departure,Charlotte Douglas International Airport,3772,934,8,N00035
arrival,Washington Dulles International Airport,3883,934,8,N00035
departure,Washington Dulles International Airport,3909,968,18,N00035
arrival,LaGuardia Airport,4009,968,18,N00035
departure,LaGuardia Airport,4035,1007,30,N00035
arrival,Nashville International Airport,4204,1007,30,N00035
departure,Nashville International Airport,4240,1056,100,N00035
arrival,Los Angeles International Airport,4537,1056,100,N00035
departure,Los Angeles International Airport,4573,1136,84,N00035
arrival,Fort Lauderdale-Hollywood International Airport,4942,1136,84,N00035
departure,Fort Lauderdale-Hollywood International Airport,4968,1243,7,N00035
arrival,Tampa International Airport,null,1243,7,N00035
departure,Hartsfield-Jackson Atlanta International Airport,35,36,112,N00036
arrival,Newark Liberty International Airport,205,36,112,N00036
departure,Newark Liberty International Airport,231,69,135,N00036
arrival,Los Angeles International Airport,604,69,135,N00036
departure,Los Angeles International Airport,640,160,135,N00036
arrival,Logan International Airport,1042,160,135,N00036
departure,Logan International Airport,1068,264,88,N00036
arrival,Newark Liberty International Airport,1164,264,88,N00036
departure,Newark Liberty International Airport,1190,297,40,N00036
arrival,Ronald Reagan Washington National Airport,1279,297,40,N00036
departure,Ronald Reagan Washington National Airport,1315,331,28,N00036
arrival,Logan International Airport,1442,331,28,N00036
departure,Logan International Airport,1468,363,135,N00036
arrival,Los Angeles International Airport,1882,363,135,N00036
departure,Los Angeles International Airport,1908,466,135,N00036
