aircraft tail number,flight number,source airport,destination airport,departure time,arrival time,number of passengers
N00015,659,Charlotte Douglas International Airport,John F. Kennedy International Airport,2699,2840,60
N00015,704,John F. Kennedy International Airport,Charlotte Douglas International Airport,2866,3007,60
N00015,740,Charlotte Douglas International Airport,Orlando International Airport,3043,3176,25
N00015,784,Orlando International Airport,Miami International Airport,3202,3291,24
N00015,817,Miami International Airport,Orlando International Airport,3317,3406,24
N00015,847,Orlando International Airport,Nashville International Airport,3432,3581,20
N00015,883,Nashville International Airport,Philadelphia International Airport,3607,3763,45
N00015,936,Philadelphia International Airport,Minneapolis-Saint Paul International Airport,3799,3987,80
N00015,995,Minneapolis-Saint Paul International Airport,George Bush Intercontinental Airport,4013,4207,90
N00015,1055,George Bush Intercontinental Airport,Detroit Metropolitan Airport,4233,4433,105
N00015,1109,Detroit Metropolitan Airport,George Bush Intercontinental Airport,4469,4668,84
N00015,1172,George Bush Intercontinental Airport,Philadelphia International Airport,4694,4922,73
N00015,1243,Philadelphia International Airport,Fort Lauderdale-Hollywood International Airport,4958,5148,65
N00015,1298,Fort Lauderdale-Hollywood International Airport,Philadelphia International Airport,5174,5365,65
N00015,1366,Philadelphia International Airport,Miami International Airport,5391,5583,65
N00015,1421,Miami International Airport,Nashville International Airport,5619,5789,20
N00015,1471,Nashville International Airport,Miami International Airport,5815,5986,20
N00015,1527,Miami International Airport,Denver International Airport,6022,6297,18
N00015,1617,Denver International Airport,Austin-Bergstrom International Airport,6323,6492,5
N00015,1662,Austin-Bergstrom International Airport,Orlando International Airport,6528,6719,20
N00015,1716,Orlando International Airport,Baltimore/Washington International Airport,6745,6914,20
N00015,1756,Baltimore/Washington International Airport,Fort Lauderdale-Hollywood International Airport,6940,7123,20
N00015,1793,Fort Lauderdale-Hollywood International Airport,Ronald Reagan Washington National Airport,7159,7340,20
N00015,1838,Ronald Reagan Washington National Airport,George Bush Intercontinental Airport,7366,7579,50
N00015,1891,George Bush Intercontinental Airport,San Diego International Airport,7615,7838,64
N00015,1944,San Diego International Airport,O'Hare International Airport,7864,8146,63
N00016,16,Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,35,187,189
N00016,63,O'Hare International Airport,LaGuardia Airport,213,377,65
N00016,120,LaGuardia Airport,Los Angeles International Airport,413,767,189
N00016,196,Los Angeles International Airport,Dallas/Fort Worth International Airport,803,1023,45
N00016,255,Dallas/Fort Worth International Airport,Nashville International Airport,1049,1202,55
N00016,294,Nashville International Airport,Detroit Metropolitan Airport,1228,1360,30
N00016,329,Detroit Metropolitan Airport,Hartsfield-Jackson Atlanta International Airport,1386,1535,90
N00016,378,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,1571,1871,189
N00016,462,Los Angeles International Airport,Dallas/Fort Worth International Airport,1907,2127,105
N00016,517,Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,2153,2244,52
N00016,550,Austin-Bergstrom International Airport,Dallas/Fort Worth International Airport,2270,2361,48
N00016,576,Dallas/Fort Worth International Airport,Philadelphia International Airport,2387,2615,132
N00016,641,Philadelphia International Airport,Nashville International Airport,2651,2806,45
N00016,695,Nashville International Airport,George Bush Intercontinental Airport,2832,2985,50
N00016,735,George Bush Intercontinental Airport,O'Hare International Airport,3011,3197,22
N00016,790,O'Hare International Airport,Minneapolis-Saint Paul International Airport,3223,3336,75
N00016,826,Minneapolis-Saint Paul International Airport,Detroit Metropolitan Airport,3372,3511,33
N00016,869,Detroit Metropolitan Airport,Charlotte Douglas International Airport,3537,3674,40
N00016,919,Charlotte Douglas International Airport,Fort Lauderdale-Hollywood International Airport,3700,3851,25
N00016,960,Fort Lauderdale-Hollywood International Airport,Orlando International Airport,3877,3994,18
N00016,996,Orlando International Airport,Philadelphia International Airport,4020,4197,55
N00016,1050,Philadelphia International Airport,Tampa International Airport,4233,4415,70
N00016,1103,Tampa International Airport,Philadelphia International Airport,4441,4624,52
N00016,1162,Philadelphia International Airport,Orlando International Airport,4650,4826,44
N00016,1216,Orlando International Airport,Newark Liberty International Airport,4862,5047,60
N00016,1277,Newark Liberty International Airport,Minneapolis-Saint Paul International Airport,5073,5264,68
N00016,1339,Minneapolis-Saint Paul International Airport,Nashville International Airport,5290,5448,25
N00016,1383,Nashville International Airport,Austin-Bergstrom International Airport,5484,5648,15
N00016,1442,Austin-Bergstrom International Airport,Tampa International Airport,5674,5858,25
N00016,1493,Tampa International Airport,Newark Liberty International Airport,5884,6076,56
N00016,1557,Newark Liberty International Airport,Tampa International Airport,6112,6302,60
N00016,1619,Tampa International Airport,Detroit Metropolitan Airport,6328,6517,45
N00016,1673,Detroit Metropolitan Airport,Orlando International Airport,6543,6730,32
N00016,1720,Orlando International Airport,Denver International Airport,6766,7024,10
N00016,1779,Denver International Airport,John F. Kennedy International Airport,7060,7330,39
N00016,1835,John F. Kennedy International Airport,Miami International Airport,7356,7556,70
N00016,1885,Miami International Airport,Washington Dulles International Airport,7592,7776,20
N00016,1927,Washington Dulles International Airport,George Bush Intercontinental Airport,7802,8013,50
N00016,1974,George Bush Intercontinental Airport,Harry Reid International Airport,8049,8263,44
N00016,2017,Harry Reid International Airport,Minneapolis-Saint Paul International Airport,8289,8514,30
N00016,2058,Minneapolis-Saint Paul International Airport,Seattle-Tacoma International Airport,8550,8783,50
N00016,2099,Seattle-Tacoma International Airport,O'Hare International Airport,8819,9100,52
N00017,17,Dallas/Fort Worth International Airport,Los Angeles International Airport,35,253,9
N00017,88,Los Angeles International Airport,John F. Kennedy International Airport,289,653,189
N00017,170,John F. Kennedy International Airport,O'Hare International Airport,689,853,189
N00017,215,O'Hare International Airport,Denver International Airport,879,1061,100
N00017,353,Denver International Airport,Los Angeles International Airport,1465,1642,144
N00017,403,Los Angeles International Airport,Newark Liberty International Airport,1678,2040,189
N00017,494,Newark Liberty International Airport,Logan International Airport,2066,2163,92
N00017,525,Logan International Airport,LaGuardia Airport,2189,2277,88
N00017,558,LaGuardia Airport,Baltimore/Washington International Airport,2303,2391,40
N00017,587,Baltimore/Washington International Airport,Hartsfield-Jackson Atlanta International Airport,2427,2573,45
N00017,634,Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,2599,2743,36
N00017,678,Ronald Reagan Washington National Airport,Charlotte Douglas International Airport,2769,2916,20
N00017,718,Charlotte Douglas International Airport,O'Hare International Airport,2942,3091,51
N00017,765,O'Hare International Airport,San Francisco International Airport,3127,3417,144
N00017,853,San Francisco International Airport,Denver International Airport,3443,3633,42
N00017,902,Denver International Airport,Hartsfield-Jackson Atlanta International Airport,3669,3887,36
N00017,972,Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3913,4208,56
N00017,1056,San Diego International Airport,George Bush Intercontinental Airport,4244,4470,80
N00017,1118,George Bush Intercontinental Airport,O'Hare International Airport,4496,4682,72
N00017,1174,O'Hare International Airport,Charlotte Douglas International Airport,4708,4858,36
N00017,1223,Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,4894,5079,70
N00017,1283,Dallas/Fort Worth International Airport,Salt Lake City International Airport,5105,5296,35
N00017,1343,Salt Lake City International Airport,Dallas/Fort Worth International Airport,5322,5515,30
N00017,1403,Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,5551,5769,55
N00017,1465,Baltimore/Washington International Airport,Tampa International Airport,5795,5968,20
N00017,1524,Tampa International Airport,Ronald Reagan Washington National Airport,5994,6165,25
N00017,1576,Ronald Reagan Washington National Airport,Minneapolis-Saint Paul International Airport,6201,6384,25
N00017,1634,Minneapolis-Saint Paul International Airport,Ronald Reagan Washington National Airport,6410,6594,25
N00017,1685,Ronald Reagan Washington National Airport,Miami International Airport,6620,6802,20
N00017,1734,Miami International Airport,Newark Liberty International Airport,6838,7040,70
N00017,1783,Newark Liberty International Airport,San Francisco International Airport,7076,7440,99
N00017,1861,San Francisco International Airport,LaGuardia Airport,7476,7852,66
N00017,1948,LaGuardia Airport,Austin-Bergstrom International Airport,7888,8141,55
N00017,1999,Austin-Bergstrom International Airport,Phoenix Sky Harbor International Airport,8167,8343,24
N00017,2032,Phoenix Sky Harbor International Airport,John F. Kennedy International Airport,8379,8707,110
N00017,2084,John F. Kennedy International Airport,San Francisco International Airport,8743,9109,66
N00017,2145,San Francisco International Airport,Minneapolis-Saint Paul International Airport,9145,9409,72
N00017,2188,Minneapolis-Saint Paul International Airport,Tampa International Airport,9435,9661,32
N00017,2221,Tampa International Airport,Minneapolis-Saint Paul International Airport,9697,9921,32
N00017,2250,Minneapolis-Saint Paul International Airport,Harry Reid International Airport,9947,10170,30
N00017,2276,Harry Reid International Airport,Hartsfield-Jackson Atlanta International Airport,10206,10490,45
N00017,2308,Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,10526,10788,5
N00017,2338,Salt Lake City International Airport,Hartsfield-Jackson Atlanta International Airport,10824,11090,25
N00017,2399,Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,11555,11881,34
N00017,2430,Seattle-Tacoma International Airport,Detroit Metropolitan Airport,11917,12219,60
N00017,2449,Detroit Metropolitan Airport,San Francisco International Airport,12255,12567,42
N00017,2472,San Francisco International Airport,Austin-Bergstrom International Airport,12603,12858,60
N00017,2488,Austin-Bergstrom International Airport,San Francisco International Airport,12884,13128,44
N00017,2502,San Francisco International Airport,Detroit Metropolitan Airport,13164,13483,42
N00017,2520,Detroit Metropolitan Airport,Harry Reid International Airport,13519,13796,35
N00017,2534,Harry Reid International Airport,Charlotte Douglas International Airport,13832,14133,20
N00017,2549,Charlotte Douglas International Airport,Austin-Bergstrom International Airport,14159,14353,16
N00017,2560,Austin-Bergstrom International Airport,John F. Kennedy International Airport,14389,14646,55
N00017,2571,John F. Kennedy International Airport,Austin-Bergstrom International Airport,14672,14925,44
N00017,2576,Austin-Bergstrom International Airport,Washington Dulles International Airport,14961,15186,15
N00017,2577,Washington Dulles International Airport,Los Angeles International Airport,15222,null,52
N00018,18,Denver International Airport,Salt Lake City International Airport,35,161,10
N00018,60,Salt Lake City International Airport,Denver International Airport,187,313,10
N00018,102,Denver International Airport,Detroit Metropolitan Airport,339,546,45
N00018,152,Detroit Metropolitan Airport,Los Angeles International Airport,582,884,189
N00018,220,Los Angeles International Airport,Denver International Airport,910,1088,189
N00018,354,Denver International Airport,Dallas/Fort Worth International Airport,1475,1631,60
N00018,401,Dallas/Fort Worth International Airport,Los Angeles International Airport,1657,1874,189
N00018,463,Los Angeles International Airport,Detroit Metropolitan Airport,1910,2218,180
N00018,545,Detroit Metropolitan Airport,Philadelphia International Airport,2244,2375,72
N00018,583,Philadelphia International Airport,George Bush Intercontinental Airport,2411,2636,150
N00018,647,George Bush Intercontinental Airport,Phoenix Sky Harbor International Airport,2662,2853,120
N00018,707,Phoenix Sky Harbor International Airport,Austin-Bergstrom International Airport,2889,3067,40
N00018,759,Austin-Bergstrom International Airport,Denver International Airport,3093,3261,15
N00018,813,Denver International Airport,San Diego International Airport,3287,3463,18
N00018,862,San Diego International Airport,Dallas/Fort Worth International Airport,3499,3712,68
N00018,928,Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,3738,3916,57
N00018,977,Minneapolis-Saint Paul International Airport,Hartsfield-Jackson Atlanta International Airport,3942,4126,75
N00018,1031,Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,4162,4441,50
N00018,1111,Harry Reid International Airport,Seattle-Tacoma International Airport,4467,4643,30
N00018,1167,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,4679,4883,65
N00018,1232,Phoenix Sky Harbor International Airport,Hartsfield-Jackson Atlanta International Airport,4909,5175,100
N00018,1310,Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,5211,5378,56
N00018,1372,John F. Kennedy International Airport,Minneapolis-Saint Paul International Airport,5404,5597,85
N00018,1428,Minneapolis-Saint Paul International Airport,Charlotte Douglas International Airport,5623,5807,35
N00018,1477,Charlotte Douglas International Airport,George Bush Intercontinental Airport,5843,6024,52
N00018,1536,George Bush Intercontinental Airport,Fort Lauderdale-Hollywood International Airport,6050,6238,60
N00018,1595,Fort Lauderdale-Hollywood International Airport,O'Hare International Airport,6264,6477,60
N00018,1656,O'Hare International Airport,Harry Reid International Airport,6513,6761,45
N00018,1728,Harry Reid International Airport,George Bush Intercontinental Airport,6787,7003,44
N00018,1775,George Bush Intercontinental Airport,Washington Dulles International Airport,7039,7252,50
N00018,1824,Washington Dulles International Airport,Miami International Airport,7278,7460,20
N00018,1869,Miami International Airport,Ronald Reagan Washington National Airport,7486,7669,20
N00018,1908,Ronald Reagan Washington National Airport,Denver International Airport,7705,7948,16
N00018,1964,Denver International Airport,Logan International Airport,7984,8269,20
N00018,2018,Logan International Airport,Tampa International Airport,8295,8505,55
N00018,2055,Tampa International Airport,Logan International Airport,8541,8754,44
N00018,2093,Logan International Airport,Minneapolis-Saint Paul International Airport,8780,8983,36
N00018,2129,Minneapolis-Saint Paul International Airport,San Francisco International Airport,9019,9279,54
N00018,2173,San Francisco International Airport,Philadelphia International Airport,9315,9684,60
N00018,2225,Philadelphia International Airport,Austin-Bergstrom International Airport,9720,9957,30
N00018,2255,Austin-Bergstrom International Airport,San Diego International Airport,9983,10191,25
N00018,2277,San Diego International Airport,Minneapolis-Saint Paul International Airport,10227,10485,32
N00018,2307,Minneapolis-Saint Paul International Airport,Orlando International Airport,10511,10738,35
N00018,2334,Orlando International Airport,Logan International Airport,10774,10980,36
N00018,2356,Logan International Airport,Austin-Bergstrom International Airport,11006,11278,40
N00018,2383,Austin-Bergstrom International Airport,Philadelphia International Airport,11314,11554,50
N00018,2404,Philadelphia International Airport,Phoenix Sky Harbor International Airport,11590,11902,63
N00018,2431,Phoenix Sky Harbor International Airport,Philadelphia International Airport,11938,12257,60
N00018,2451,Philadelphia International Airport,Seattle-Tacoma International Airport,12293,12637,51
N00018,2476,Seattle-Tacoma International Airport,Austin-Bergstrom International Airport,12673,12958,35
N00018,2492,Austin-Bergstrom International Airport,Newark Liberty International Airport,12994,13249,55
N00018,2509,Newark Liberty International Airport,Austin-Bergstrom International Airport,13275,13519,33
N00018,2522,Austin-Bergstrom International Airport,LaGuardia Airport,13555,13812,55
N00018,2535,LaGuardia Airport,San Diego International Airport,13848,14199,75
N00018,2551,San Diego International Airport,Detroit Metropolitan Airport,14235,14541,50
N00018,2564,Detroit Metropolitan Airport,Salt Lake City International Airport,14577,14819,16
N00018,2574,Salt Lake City International Airport,Nashville International Airport,14845,null,10
N00019,19,O'Hare International Airport,Los Angeles International Airport,35,314,74
N00019,108,Los Angeles International Airport,LaGuardia Airport,350,714,189
N00019,182,LaGuardia Airport,Logan International Airport,740,828,115
N00019,208,Logan International Airport,Los Angeles International Airport,864,1233,186
N00019,302,Los Angeles International Airport,San Francisco International Airport,1259,1371,189
N00019,332,San Francisco International Airport,San Diego International Airport,1407,1538,80
N00019,379,San Diego International Airport,Denver International Airport,1564,1742,28
N00019,428,Denver International Airport,Seattle-Tacoma International Airport,1768,1963,32
N00019,477,Seattle-Tacoma International Airport,Los Angeles International Airport,1999,2186,150
N00019,533,Los Angeles International Airport,Seattle-Tacoma International Airport,2212,2398,115
N00019,589,Seattle-Tacoma International Airport,Salt Lake City International Airport,2424,2581,15
N00019,636,Salt Lake City International Airport,Los Angeles International Airport,2617,2763,60
N00019,683,Los Angeles International Airport,Salt Lake City International Airport,2789,2935,85
N00019,722,Salt Lake City International Airport,Harry Reid International Airport,2961,3083,8
N00019,763,Harry Reid International Airport,Phoenix Sky Harbor International Airport,3109,3212,28
N00019,795,Phoenix Sky Harbor International Airport,Salt Lake City International Airport,3238,3375,16
N00019,836,Salt Lake City International Airport,San Diego International Airport,3401,3551,12
N00019,881,San Diego International Airport,Seattle-Tacoma International Airport,3587,3783,45
N00019,943,Seattle-Tacoma International Airport,Denver International Airport,3809,4005,24
N00019,999,Denver International Airport,LaGuardia Airport,4041,4311,39
N00019,1079,LaGuardia Airport,Dallas/Fort Worth International Airport,4337,4571,70
N00019,1144,Dallas/Fort Worth International Airport,LaGuardia Airport,4607,4844,70
N00019,1221,LaGuardia Airport,George Bush Intercontinental Airport,4870,5105,66
N00019,1291,George Bush Intercontinental Airport,Minneapolis-Saint Paul International Airport,5141,5337,90
N00019,1355,Minneapolis-Saint Paul International Airport,Newark Liberty International Airport,5363,5556,68
N00019,1413,Newark Liberty International Airport,Fort Lauderdale-Hollywood International Airport,5592,5790,70
N00019,1472,Fort Lauderdale-Hollywood International Airport,Denver International Airport,5816,6091,12
N00019,1561,Denver International Airport,George Bush Intercontinental Airport,6127,6306,28
N00019,1620,George Bush Intercontinental Airport,Charlotte Douglas International Airport,6332,6514,65
N00019,1671,Charlotte Douglas International Airport,Minneapolis-Saint Paul International Airport,6540,6723,35
N00019,1717,Minneapolis-Saint Paul International Airport,Baltimore/Washington International Airport,6759,6944,25
N00019,1762,Baltimore/Washington International Airport,Miami International Airport,6970,7155,20
N00019,1800,Miami International Airport,LaGuardia Airport,7181,7384,70
N00019,1846,LaGuardia Airport,San Francisco International Airport,7420,7785,99
N00019,1929,San Francisco International Airport,John F. Kennedy International Airport,7821,8198,99
N00019,2007,John F. Kennedy International Airport,Denver International Airport,8234,8500,28
N00020,20,Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,35,187,11
N00020,64,O'Hare International Airport,John F. Kennedy International Airport,213,378,189
N00020,121,John F. Kennedy International Airport,Los Angeles International Airport,414,768,189
N00020,197,Los Angeles International Airport,George Bush Intercontinental Airport,804,1038,189
N00020,263,George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,1064,1165,66
N00020,284,Dallas/Fort Worth International Airport,Orlando International Airport,1191,1383,70
N00020,334,Orlando International Airport,Charlotte Douglas International Airport,1409,1542,25
N00020,381,Charlotte Douglas International Airport,Washington Dulles International Airport,1578,1688,16
N00020,419,Washington Dulles International Airport,Newark Liberty International Airport,1714,1812,36
N00020,445,Newark Liberty International Airport,Denver International Airport,1838,2102,56
N00020,512,Denver International Airport,Tampa International Airport,2138,2395,24
N00020,588,Tampa International Airport,Charlotte Douglas International Airport,2421,2558,30
N00020,632,Charlotte Douglas International Airport,Newark Liberty International Airport,2584,2724,60
N00020,670,Newark Liberty International Airport,Charlotte Douglas International Airport,2750,2918,60
N00020,720,Charlotte Douglas International Airport,LaGuardia Airport,2954,3095,48
N00020,766,LaGuardia Airport,Detroit Metropolitan Airport,3121,3257,80
N00020,810,Detroit Metropolitan Airport,Nashville International Airport,3283,3414,30
N00020,852,Nashville International Airport,Ronald Reagan Washington National Airport,3440,3583,15
N00020,884,Ronald Reagan Washington National Airport,Orlando International Airport,3609,3773,20
N00020,938,Orlando International Airport,Dallas/Fort Worth International Airport,3809,4000,70
N00020,997,Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,4026,4213,56
N00020,1058,Charlotte Douglas International Airport,Logan International Airport,4239,4401,45
N00020,1100,Logan International Airport,Charlotte Douglas International Airport,4437,4617,36
N00020,1161,Charlotte Douglas International Airport,Miami International Airport,4643,4796,25
N00020,1208,Miami International Airport,Dallas/Fort Worth International Airport,4822,5027,80
N00020,1267,Dallas/Fort Worth International Airport,Miami International Airport,5063,5270,48
N00020,1340,Miami International Airport,O'Hare International Airport,5296,5510,80
N00020,1397,O'Hare International Airport,Miami International Airport,5546,5763,42
N00020,1462,Miami International Airport,Tampa International Airport,5789,5886,14
N00020,1499,Tampa International Airport,John F. Kennedy International Airport,5912,6105,56
N00020,1564,John F. Kennedy International Airport,Detroit Metropolitan Airport,6131,6268,60
N00020,1604,Detroit Metropolitan Airport,Tampa International Airport,6304,6494,36
N00020,1663,Tampa International Airport,Austin-Bergstrom International Airport,6520,6702,25
N00020,1711,Austin-Bergstrom International Airport,Minneapolis-Saint Paul International Airport,6728,6925,30
N00020,1758,Minneapolis-Saint Paul International Airport,Austin-Bergstrom International Airport,6961,7156,30
N00020,1801,Austin-Bergstrom International Airport,Charlotte Douglas International Airport,7182,7377,20
N00020,1844,Charlotte Douglas International Airport,Denver International Airport,7413,7642,10
N00020,1904,Denver International Airport,Washington Dulles International Airport,7668,7912,8
N00020,1959,Washington Dulles International Airport,Denver International Airport,7948,8189,16
N00020,2006,Denver International Airport,Fort Lauderdale-Hollywood International Airport,8225,8504,18
N00020,2054,Fort Lauderdale-Hollywood International Airport,Baltimore/Washington International Airport,8530,8714,20
N00020,2086,Baltimore/Washington International Airport,George Bush Intercontinental Airport,8750,8966,50
N00020,2126,George Bush Intercontinental Airport,Salt Lake City International Airport,8992,9215,30
N00020,2163,Salt Lake City International Airport,Austin-Bergstrom International Airport,9251,9453,10
N00020,2195,Austin-Bergstrom International Airport,Miami International Airport,9479,9682,20
N00020,2224,Miami International Airport,Austin-Bergstrom International Airport,9718,9919,25
N00020,2249,Austin-Bergstrom International Airport,Fort Lauderdale-Hollywood International Airport,9945,10148,20
N00020,2275,Fort Lauderdale-Hollywood International Airport,Austin-Bergstrom International Airport,10184,10386,25
N00020,2300,Austin-Bergstrom International Airport,Salt Lake City International Airport,10412,10612,10
N00020,2321,Salt Lake City International Airport,George Bush Intercontinental Airport,10648,10862,24
N00020,2347,George Bush Intercontinental Airport,Seattle-Tacoma International Airport,10888,11179,80
N00020,2370,Seattle-Tacoma International Airport,George Bush Intercontinental Airport,11215,11512,38
N00021,21,Dallas/Fort Worth International Airport,O'Hare International Airport,35,209,189
N00021,73,O'Hare International Airport,John F. Kennedy International Airport,235,400,36
N00021,123,John F. Kennedy International Airport,Los Angeles International Airport,436,790,189
N00021,201,Los Angeles International Airport,George Bush Intercontinental Airport,826,1060,189
N00021,267,George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,1086,1245,150
N00021,305,Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,1281,1543,100
N00021,382,Phoenix Sky Harbor International Airport,Harry Reid International Airport,1569,1672,35
N00021,413,Harry Reid International Airport,Los Angeles International Airport,1698,1799,112
N00021,443,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,1835,2141,98
N00021,523,Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,2167,2316,72
N00021,566,Detroit Metropolitan Airport,LaGuardia Airport,2342,2479,80
N00021,607,LaGuardia Airport,Washington Dulles International Airport,2515,2615,50
N00021,642,Washington Dulles International Airport,LaGuardia Airport,2641,2741,36
N00021,676,LaGuardia Airport,Nashville International Airport,2767,2932,50
N00021,721,Nashville International Airport,Washington Dulles International Airport,2958,3099,15
N00021,767,Washington Dulles International Airport,Logan International Airport,3125,3252,35
N00021,808,Logan International Airport,Hartsfield-Jackson Atlanta International Airport,3288,3474,63
N00021,864,Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,3500,3666,84
N00021,917,Newark Liberty International Airport,George Bush Intercontinental Airport,3692,3925,99
N00021,979,George Bush Intercontinental Airport,San Francisco International Airport,3961,4226,105
N00021,1060,San Francisco International Airport,Dallas/Fort Worth International Airport,4262,4508,74
N00021,1129,Dallas/Fort Worth International Airport,Newark Liberty International Airport,4534,4769,70
N00021,1202,Newark Liberty International Airport,Nashville International Airport,4805,4968,50
N00021,1251,Nashville International Airport,John F. Kennedy International Airport,4994,5160,45
N00021,1303,John F. Kennedy International Airport,Nashville International Airport,5186,5351,50
N00021,1362,Nashville International Airport,Minneapolis-Saint Paul International Airport,5377,5534,25
N00021,1407,Minneapolis-Saint Paul International Airport,Philadelphia International Airport,5570,5760,75
N00021,1459,Philadelphia International Airport,Denver International Airport,5786,6045,39
N00021,1547,Denver International Airport,Minneapolis-Saint Paul International Airport,6081,6239,7
N00021,1596,Minneapolis-Saint Paul International Airport,Washington Dulles International Airport,6265,6446,25
N00021,1649,Washington Dulles International Airport,Fort Lauderdale-Hollywood International Airport,6472,6652,20
N00021,1698,Fort Lauderdale-Hollywood International Airport,LaGuardia Airport,6688,6889,70
N00021,1749,LaGuardia Airport,Denver International Airport,6915,7181,28
N00021,1809,Denver International Airport,Charlotte Douglas International Airport,7217,7448,10
N00021,1864,Charlotte Douglas International Airport,Los Angeles International Airport,7484,7801,66
N00021,1938,Los Angeles International Airport,Austin-Bergstrom International Airport,7837,8056,99
N00021,1986,Austin-Bergstrom International Airport,O'Hare International Airport,8082,8274,32
N00022,22,Denver International Airport,Phoenix Sky Harbor International Airport,35,184,50
N00022,62,Phoenix Sky Harbor International Airport,Denver International Airport,210,360,50
N00022,114,Denver International Airport,Philadelphia International Airport,386,649,60
N00022,167,Philadelphia International Airport,O'Hare International Airport,685,843,189
N00022,213,O'Hare International Airport,Baltimore/Washington International Airport,869,1021,70
N00022,254,Baltimore/Washington International Airport,O'Hare International Airport,1047,1199,70
N00022,355,O'Hare International Airport,George Bush Intercontinental Airport,1465,1650,144
N00022,407,George Bush Intercontinental Airport,Los Angeles International Airport,1686,1917,189
N00022,467,Los Angeles International Airport,Phoenix Sky Harbor International Airport,1943,2065,189
N00022,498,Phoenix Sky Harbor International Airport,San Diego International Airport,2091,2199,55
N00022,537,San Diego International Airport,Harry Reid International Airport,2225,2328,25
N00022,567,Harry Reid International Airport,San Diego International Airport,2354,2457,25
N00022,600,San Diego International Airport,Salt Lake City International Airport,2493,2644,15
N00022,648,Salt Lake City International Airport,San Francisco International Airport,2670,2817,30
N00022,696,San Francisco International Airport,Salt Lake City International Airport,2843,2990,30
N00022,736,Salt Lake City International Airport,Phoenix Sky Harbor International Airport,3016,3153,16
N00022,779,Phoenix Sky Harbor International Airport,San Francisco International Airport,3179,3331,92
N00022,824,San Francisco International Airport,O'Hare International Airport,3367,3662,94
N00022,913,O'Hare International Airport,Austin-Bergstrom International Airport,3688,3878,48
N00022,967,Austin-Bergstrom International Airport,Los Angeles International Airport,3914,4130,75
N00022,1034,Los Angeles International Airport,Harry Reid International Airport,4156,4257,124
N00022,1073,Harry Reid International Airport,Salt Lake City International Airport,4283,4405,8
N00022,1101,Salt Lake City International Airport,Seattle-Tacoma International Airport,4431,4588,15
N00022,1152,Seattle-Tacoma International Airport,Harry Reid International Airport,4624,4801,30
N00022,1209,Harry Reid International Airport,Dallas/Fort Worth International Airport,4827,5027,60
N00022,1268,Dallas/Fort Worth International Airport,Harry Reid International Airport,5053,5251,60
N00022,1334,Harry Reid International Airport,Austin-Bergstrom International Airport,5287,5489,20
N00022,1392,Austin-Bergstrom International Airport,Nashville International Airport,5515,5686,15
N00022,1449,Nashville International Airport,Fort Lauderdale-Hollywood International Airport,5712,5881,20
N00022,1496,Fort Lauderdale-Hollywood International Airport,Los Angeles International Airport,5917,6258,76
N00022,1601,Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,6294,6643,84
N00022,1693,Fort Lauderdale-Hollywood International Airport,John F. Kennedy International Airport,6679,6879,70
N00022,1745,John F. Kennedy International Airport,George Bush Intercontinental Airport,6905,7140,66
N00022,1796,George Bush Intercontinental Airport,Baltimore/Washington International Airport,7176,7394,50
N00022,1848,Baltimore/Washington International Airport,Dallas/Fort Worth International Airport,7420,7636,55
N00023,23,O'Hare International Airport,Dallas/Fort Worth International Airport,35,208,189
N00023,71,Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,234,412,130
N00023,127,Phoenix Sky Harbor International Airport,Los Angeles International Airport,438,560,189
N00023,156,Los Angeles International Airport,Philadelphia International Airport,596,952,20
N00023,238,Philadelphia International Airport,Logan International Airport,978,1083,105
N00023,270,Logan International Airport,Newark Liberty International Airport,1109,1206,110
N00023,296,Newark Liberty International Airport,Ronald Reagan Washington National Airport,1242,1332,50
N00023,323,Ronald Reagan Washington National Airport,LaGuardia Airport,1358,1456,45
N00023,361,LaGuardia Airport,Hartsfield-Jackson Atlanta International Airport,1482,1649,112
N00023,406,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,1675,1975,119
