aircraft tail number,flight number,source airport,destination airport,departure time,arrival time,number of passengers
N00001,882,Newark Liberty International Airport,Logan International Airport,3605,3702,69
N00001,926,Logan International Airport,LaGuardia Airport,3728,3816,66
N00001,954,LaGuardia Airport,Tampa International Airport,3842,4034,75
N00001,1009,Tampa International Airport,George Bush Intercontinental Airport,4060,4227,75
N00001,1061,George Bush Intercontinental Airport,Logan International Airport,4263,4528,119
N00001,1133,Logan International Airport,John F. Kennedy International Airport,4554,4642,44
N00001,1166,John F. Kennedy International Airport,Logan International Airport,4668,4756,46
N00001,1196,Logan International Airport,Detroit Metropolitan Airport,4782,4932,45
N00001,1245,Detroit Metropolitan Airport,Ronald Reagan Washington National Airport,4958,5084,24
N00001,1287,Ronald Reagan Washington National Airport,O'Hare International Airport,5110,5260,28
N00001,1338,O'Hare International Airport,Harry Reid International Airport,5296,5544,60
N00001,1410,Harry Reid International Airport,Los Angeles International Airport,5570,5671,56
N00001,1447,Los Angeles International Airport,Phoenix Sky Harbor International Airport,5697,5819,13
N00001,1481,Phoenix Sky Harbor International Airport,San Diego International Airport,5845,5953,22
N00001,1517,San Diego International Airport,Salt Lake City International Airport,5979,6130,9
N00001,1569,Salt Lake City International Airport,Phoenix Sky Harbor International Airport,6156,6293,8
N00001,1614,Phoenix Sky Harbor International Airport,Seattle-Tacoma International Airport,6329,6531,52
N00001,1677,Seattle-Tacoma International Airport,Harry Reid International Airport,6557,6734,24
N00001,1721,Harry Reid International Airport,Seattle-Tacoma International Airport,6760,6936,24
N00001,1760,Seattle-Tacoma International Airport,George Bush Intercontinental Airport,6972,7269,95
N00001,1827,George Bush Intercontinental Airport,Minneapolis-Saint Paul International Airport,7295,7491,54
N00001,1875,Minneapolis-Saint Paul International Airport,Logan International Airport,7527,7732,48
N00001,1924,Logan International Airport,George Bush Intercontinental Airport,7758,8019,72
N00001,1976,George Bush Intercontinental Airport,Orlando International Airport,8045,8221,39
N00001,2012,Orlando International Airport,Newark Liberty International Airport,8257,8442,36
N00001,2045,Newark Liberty International Airport,Phoenix Sky Harbor International Airport,8468,8786,110
N00001,2100,Phoenix Sky Harbor International Airport,John F. Kennedy International Airport,8822,9150,88
N00001,2155,John F. Kennedy International Airport,Fort Lauderdale-Hollywood International Airport,9176,9374,56
N00001,2186,Fort Lauderdale-Hollywood International Airport,LaGuardia Airport,9410,9611,42
N00001,2213,LaGuardia Airport,Phoenix Sky Harbor International Airport,9637,9957,66
N00001,2254,Phoenix Sky Harbor International Airport,Nashville International Airport,9993,10235,35
N00001,2279,Nashville International Airport,Fort Lauderdale-Hollywood International Airport,10261,10430,12
N00001,2304,Fort Lauderdale-Hollywood International Airport,Nashville International Airport,10456,10624,12
N00001,2322,Nashville International Airport,Logan International Airport,10660,10845,28
N00001,2343,Logan International Airport,Orlando International Airport,10871,11075,27
N00001,2366,Orlando International Airport,Minneapolis-Saint Paul International Airport,11101,11325,35
N00001,2388,Minneapolis-Saint Paul International Airport,Seattle-Tacoma International Airport,11361,11594,30
N00001,2409,Seattle-Tacoma International Airport,Philadelphia International Airport,11630,11983,85
N00001,2436,Philadelphia International Airport,San Diego International Airport,12019,12362,56
N00001,2462,San Diego International Airport,Newark Liberty International Airport,12398,12757,75
N00001,2480,Newark Liberty International Airport,Harry Reid International Airport,12793,13121,50
N00001,2500,Harry Reid International Airport,Detroit Metropolitan Airport,13157,13439,35
N00001,2516,Detroit Metropolitan Airport,Salt Lake City International Airport,13465,13707,20
N00001,2528,Salt Lake City International Airport,O'Hare International Airport,13743,null,16
N00002,2,Denver International Airport,Los Angeles International Airport,35,212,119
N00002,76,Los Angeles International Airport,O'Hare International Airport,238,522,119
N00002,149,O'Hare International Airport,Logan International Airport,548,727,119
N00002,185,Logan International Airport,Denver International Airport,763,1043,50
N00002,265,Denver International Airport,Miami International Airport,1069,1349,30
N00002,326,Miami International Airport,Denver International Airport,1385,1660,30
N00002,411,Denver International Airport,Austin-Bergstrom International Airport,1686,1855,20
N00002,454,Austin-Bergstrom International Airport,Denver International Airport,1881,2049,20
N00002,496,Denver International Airport,Charlotte Douglas International Airport,2085,2316,20
N00002,565,Charlotte Douglas International Airport,O'Hare International Airport,2342,2491,68
N00002,611,O'Hare International Airport,Austin-Bergstrom International Airport,2517,2707,64
N00002,664,Austin-Bergstrom International Airport,Los Angeles International Airport,2743,2959,105
N00002,727,Los Angeles International Airport,Philadelphia International Airport,2985,3341,119
N00002,827,Philadelphia International Airport,Dallas/Fort Worth International Airport,3377,3602,99
N00002,894,Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,3628,3806,78
N00002,950,Phoenix Sky Harbor International Airport,Harry Reid International Airport,3832,3935,28
N00002,984,Harry Reid International Airport,San Diego International Airport,3961,4064,20
N00002,1017,San Diego International Airport,O'Hare International Airport,4100,4382,105
N00002,1095,O'Hare International Airport,Dallas/Fort Worth International Airport,4408,4581,84
N00002,1150,Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,4607,4708,76
N00002,1181,George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,4734,4893,60
N00002,1237,Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,4929,5071,18
N00002,1281,Washington Dulles International Airport,LaGuardia Airport,5097,5197,18
N00002,1319,LaGuardia Airport,Detroit Metropolitan Airport,5223,5359,60
N00002,1363,Detroit Metropolitan Airport,Baltimore/Washington International Airport,5385,5511,24
N00002,1399,Baltimore/Washington International Airport,Detroit Metropolitan Airport,5537,5663,24
N00002,1446,Detroit Metropolitan Airport,Denver International Airport,5689,5894,27
N00002,1501,Denver International Airport,Washington Dulles International Airport,5930,6174,12
N00002,1578,Washington Dulles International Airport,Denver International Airport,6200,6441,20
N00002,1646,Denver International Airport,Ronald Reagan Washington National Airport,6477,6724,12
N00002,1718,Ronald Reagan Washington National Airport,Denver International Airport,6750,6993,20
N00002,1811,Denver International Airport,Baltimore/Washington International Airport,7235,7490,8
N00002,1874,Baltimore/Washington International Airport,Denver International Airport,7516,7761,20
N00003,3,O'Hare International Airport,Los Angeles International Airport,35,314,119
N00003,104,Los Angeles International Airport,John F. Kennedy International Airport,350,714,119
