flight number,source airport,destination airport,number of passengers,scheduled departure time,scheduled arrival time,actual departure time,actual arrival time,aircraft tail number,aircraft type
0,Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,119,35,356,35,356,N00000,Boeing 737-600
79,San Francisco International Airport,Los Angeles International Airport,119,382,494,382,494,N00000,Boeing 737-600
95,Los Angeles International Airport,LaGuardia Airport,119,530,894,530,894,N00000,Boeing 737-600
180,LaGuardia Airport,O'Hare International Airport,119,920,1084,920,1084,N00000,Boeing 737-600
223,O'Hare International Airport,Nashville International Airport,70,1110,1239,1110,1239,N00000,Boeing 737-600
254,Nashville International Airport,Charlotte Douglas International Airport,20,1275,1386,1275,1386,N00000,Boeing 737-600
285,Charlotte Douglas International Airport,Nashville International Airport,20,1412,1522,1412,1522,N00000,Boeing 737-600
329,Nashville International Airport,Hartsfield-Jackson Atlanta International Airport,40,1766,1866,1766,1866,N00000,Boeing 737-600
381,Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,11,1892,2044,1892,2044,N00000,Boeing 737-600
414,O'Hare International Airport,Los Angeles International Airport,119,2070,2349,2070,2349,N00000,Boeing 737-600
479,Los Angeles International Airport,George Bush Intercontinental Airport,1,2385,2619,2385,2619,N00000,Boeing 737-600
539,George Bush Intercontinental Airport,Newark Liberty International Airport,119,2645,2881,2645,2881,N00000,Boeing 737-600
603,Newark Liberty International Airport,Los Angeles International Airport,119,2917,3269,2917,3277,N00000,Boeing 737-600
679,Los Angeles International Airport,John F. Kennedy International Airport,119,3313,3677,3313,3677,N00000,Boeing 737-600
764,John F. Kennedy International Airport,Dallas/Fort Worth International Airport,119,3713,3947,3713,3947,N00000,Boeing 737-600
829,Dallas/Fort Worth International Airport,LaGuardia Airport,119,3973,4210,3973,4210,N00000,Boeing 737-600
886,LaGuardia Airport,Baltimore/Washington International Airport,50,4236,4324,4236,4324,N00000,Boeing 737-600
922,Baltimore/Washington International Airport,Los Angeles International Airport,119,4360,4699,4360,4699,N00000,Boeing 737-600
981,Los Angeles International Airport,O'Hare International Airport,119,4735,5019,4735,5019,N00000,Boeing 737-600
1046,O'Hare International Airport,John F. Kennedy International Airport,119,5045,5210,5045,5210,N00000,Boeing 737-600
1089,John F. Kennedy International Airport,Dallas/Fort Worth International Airport,40,5246,5480,5246,5480,N00000,Boeing 737-600
1148,Dallas/Fort Worth International Airport,Newark Liberty International Airport,119,5506,5741,5506,5741,N00000,Boeing 737-600
1213,Newark Liberty International Airport,Seattle-Tacoma International Airport,90,5777,6124,5777,6152,N00000,Boeing 737-600
1289,Seattle-Tacoma International Airport,Salt Lake City International Airport,15,6178,6335,6178,6335,N00000,Boeing 737-600
1327,Salt Lake City International Airport,Los Angeles International Airport,75,6361,6507,6361,6507,N00000,Boeing 737-600
1356,Los Angeles International Airport,George Bush Intercontinental Airport,119,6543,6777,6543,6777,N00000,Boeing 737-600
1427,George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,25,6803,6904,6803,6904,N00000,Boeing 737-600
1457,Dallas/Fort Worth International Airport,Newark Liberty International Airport,119,6930,7165,6930,7165,N00000,Boeing 737-600
1523,Newark Liberty International Airport,San Diego International Airport,75,7202,7551,7202,7551,N00000,Boeing 737-600
1574,San Diego International Airport,Phoenix Sky Harbor International Airport,55,7577,7685,7577,7685,N00000,Boeing 737-600
1620,Phoenix Sky Harbor International Airport,Los Angeles International Airport,119,7711,7833,7711,7833,N00000,Boeing 737-600
1644,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,119,7869,8175,7869,8175,N00000,Boeing 737-600
1724,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,25,8201,8366,8201,8366,N00000,Boeing 737-600
1769,Dallas/Fort Worth International Airport,LaGuardia Airport,119,8402,8639,8402,8639,N00000,Boeing 737-600
1834,LaGuardia Airport,Los Angeles International Airport,119,8675,9029,8675,9029,N00000,Boeing 737-600
1899,Los Angeles International Airport,O'Hare International Airport,119,9065,9349,9065,9349,N00000,Boeing 737-600
1963,O'Hare International Airport,LaGuardia Airport,65,9375,9539,9375,9539,N00000,Boeing 737-600
2009,LaGuardia Airport,Logan International Airport,115,9565,9653,9565,9653,N00000,Boeing 737-600
2035,Logan International Airport,John F. Kennedy International Airport,110,9679,9767,9679,9767,N00000,Boeing 737-600
2064,John F. Kennedy International Airport,Dallas/Fort Worth International Airport,40,9803,10037,9803,10037,N00000,Boeing 737-600
2164,Dallas/Fort Worth International Airport,Denver International Airport,80,10406,10561,10406,10561,N00000,Boeing 737-600
2228,Denver International Airport,George Bush Intercontinental Airport,70,10587,10766,10587,10766,N00000,Boeing 737-600
2260,George Bush Intercontinental Airport,Denver International Airport,75,10792,10969,10792,10969,N00000,Boeing 737-600
2307,Denver International Airport,Newark Liberty International Airport,65,11005,11273,11005,11273,N00000,Boeing 737-600
2383,Newark Liberty International Airport,Detroit Metropolitan Airport,100,11299,11434,11299,11434,N00000,Boeing 737-600
2420,Detroit Metropolitan Airport,Logan International Airport,75,11460,11611,11460,11611,N00000,Boeing 737-600
2464,Logan International Airport,Denver International Airport,50,11856,12136,11856,12136,N00000,Boeing 737-600
2556,Denver International Airport,San Diego International Airport,30,12162,12338,12162,12338,N00000,Boeing 737-600
2594,San Diego International Airport,Phoenix Sky Harbor International Airport,55,12364,12472,12364,12472,N00000,Boeing 737-600
2630,Phoenix Sky Harbor International Airport,O'Hare International Airport,119,12508,12751,12508,12751,N00000,Boeing 737-600
2696,O'Hare International Airport,Phoenix Sky Harbor International Airport,119,12777,13017,12777,13017,N00000,Boeing 737-600
2776,Phoenix Sky Harbor International Airport,Hartsfield-Jackson Atlanta International Airport,100,13053,13319,13053,13319,N00000,Boeing 737-600
2807,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,119,13345,13645,13345,13645,N00000,Boeing 737-600
2875,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,119,13681,13987,13681,13987,N00000,Boeing 737-600
2958,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,119,14013,14178,14013,14178,N00000,Boeing 737-600
3005,Dallas/Fort Worth International Airport,LaGuardia Airport,119,14214,14451,14214,14451,N00000,Boeing 737-600
3071,LaGuardia Airport,Denver International Airport,70,14477,14743,14477,14743,N00000,Boeing 737-600
3098,Denver International Airport,Los Angeles International Airport,119,14779,14956,14779,14956,N00000,Boeing 737-600
3154,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,71,14982,15288,14982,15288,N00000,Boeing 737-600
3218,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,36,15324,15624,15324,null,N00000,Boeing 737-600
31,Dallas/Fort Worth International Airport,Denver International Airport,80,336,491,336,491,N00001,Boeing 737-600
94,Denver International Airport,Phoenix Sky Harbor International Airport,50,517,666,517,666,N00001,Boeing 737-600
140,Phoenix Sky Harbor International Airport,Los Angeles International Airport,119,692,814,692,814,N00001,Boeing 737-600
167,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,96,840,1146,840,1146,N00001,Boeing 737-600
236,Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,55,1182,1310,1182,1310,N00001,Boeing 737-600
269,Orlando International Airport,Hartsfield-Jackson Atlanta International Airport,55,1336,1464,1336,1464,N00001,Boeing 737-600
311,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,119,1490,1790,1490,1790,N00001,Boeing 737-600
352,Los Angeles International Airport,O'Hare International Airport,119,1826,2110,1826,2110,N00001,Boeing 737-600
424,O'Hare International Airport,Dallas/Fort Worth International Airport,119,2136,2309,2136,2309,N00001,Boeing 737-600
465,Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,119,2335,2436,2335,2436,N00001,Boeing 737-600
496,George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,119,2462,2563,2462,2563,N00001,Boeing 737-600
522,Dallas/Fort Worth International Airport,LaGuardia Airport,119,2599,2836,2599,2836,N00001,Boeing 737-600
592,LaGuardia Airport,Baltimore/Washington International Airport,50,2862,2950,2862,2950,N00001,Boeing 737-600
632,Baltimore/Washington International Airport,O'Hare International Airport,70,3206,3358,3206,3358,N00001,Boeing 737-600
694,O'Hare International Airport,Los Angeles International Airport,119,3394,3673,3394,3673,N00001,Boeing 737-600
762,Los Angeles International Airport,George Bush Intercontinental Airport,119,3699,3933,3699,3933,N00001,Boeing 737-600
825,George Bush Intercontinental Airport,San Francisco International Airport,119,3969,4234,3969,4234,N00001,Boeing 737-600
898,San Francisco International Airport,Logan International Airport,119,4281,4671,4281,4671,N00001,Boeing 737-600
962,Logan International Airport,Los Angeles International Airport,116,4707,5076,4707,5076,N00001,Boeing 737-600
1061,Los Angeles International Airport,Dallas/Fort Worth International Airport,119,5112,5332,5112,5332,N00001,Boeing 737-600
1115,Dallas/Fort Worth International Airport,O'Hare International Airport,66,5358,5532,5358,5532,N00001,Boeing 737-600
1168,O'Hare International Airport,Logan International Airport,5,5558,5737,5558,5737,N00001,Boeing 737-600
1212,Logan International Airport,Seattle-Tacoma International Airport,65,5773,6129,5773,6152,N00001,Boeing 737-600
1290,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,65,6178,6382,6178,6382,N00001,Boeing 737-600
1334,Phoenix Sky Harbor International Airport,Denver International Airport,50,6418,6568,6418,6568,N00001,Boeing 737-600
1374,Denver International Airport,Nashville International Airport,20,6594,6789,6594,6789,N00001,Boeing 737-600
1431,Nashville International Airport,O'Hare International Airport,65,6815,6944,6815,6944,N00001,Boeing 737-600
1467,O'Hare International Airport,Phoenix Sky Harbor International Airport,5,6970,7210,6970,7210,N00001,Boeing 737-600
1536,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,110,7246,7571,7246,7571,N00001,Boeing 737-600
1597,Newark Liberty International Airport,Los Angeles International Airport,119,7607,7959,7607,7959,N00001,Boeing 737-600
1675,Los Angeles International Airport,Dallas/Fort Worth International Airport,119,7985,8205,7985,8205,N00001,Boeing 737-600
1728,Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,119,8241,8342,8241,8342,N00001,Boeing 737-600
1762,George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,119,8368,8527,8368,8527,N00001,Boeing 737-600
1810,Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,119,8553,8720,8553,8720,N00001,Boeing 737-600
1855,LaGuardia Airport,O'Hare International Airport,119,8966,9130,8966,9130,N00001,Boeing 737-600
1924,O'Hare International Airport,San Francisco International Airport,80,9166,9456,9166,9456,N00001,Boeing 737-600
1988,San Francisco International Airport,Dallas/Fort Worth International Airport,50,9482,9728,9482,9728,N00001,Boeing 737-600
2049,Dallas/Fort Worth International Airport,Newark Liberty International Airport,119,9764,9999,9764,9999,N00001,Boeing 737-600
2120,Newark Liberty International Airport,Detroit Metropolitan Airport,100,10025,10160,10025,10160,N00001,Boeing 737-600
2165,Detroit Metropolitan Airport,Denver International Airport,45,10406,10611,10406,10611,N00001,Boeing 737-600
2237,Denver International Airport,San Francisco International Airport,70,10647,10836,10647,10836,N00001,Boeing 737-600
2276,San Francisco International Airport,George Bush Intercontinental Airport,40,10862,11132,10862,11132,N00001,Boeing 737-600
2347,George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,119,11158,11317,11158,11317,N00001,Boeing 737-600
2394,Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,119,11353,11520,11353,11520,N00001,Boeing 737-600
2442,John F. Kennedy International Airport,Los Angeles International Airport,119,11546,11900,11546,11900,N00001,Boeing 737-600
2506,Los Angeles International Airport,O'Hare International Airport,57,11936,12220,11936,12220,N00001,Boeing 737-600
2569,O'Hare International Airport,LaGuardia Airport,36,12246,12410,12246,12410,N00001,Boeing 737-600
2613,LaGuardia Airport,Dallas/Fort Worth International Airport,119,12446,12680,12446,12680,N00001,Boeing 737-600
2682,Dallas/Fort Worth International Airport,John F. Kennedy International Airport,119,12706,12943,12706,12943,N00001,Boeing 737-600
2747,John F. Kennedy International Airport,San Francisco International Airport,119,12979,13345,12979,13352,N00001,Boeing 737-600
2817,San Francisco International Airport,George Bush Intercontinental Airport,119,13388,13658,13388,13658,N00001,Boeing 737-600
2878,George Bush Intercontinental Airport,Denver International Airport,75,13684,13861,13684,13861,N00001,Boeing 737-600
2923,Denver International Airport,Seattle-Tacoma International Airport,40,13887,14082,13887,14082,N00001,Boeing 737-600
2973,Seattle-Tacoma International Airport,O'Hare International Airport,119,14118,14399,14118,14399,N00001,Boeing 737-600
3065,O'Hare International Airport,Los Angeles International Airport,119,14462,14741,14462,14741,N00001,Boeing 737-600
3092,Los Angeles International Airport,O'Hare International Airport,119,14777,15061,14777,15061,N00001,Boeing 737-600
3167,O'Hare International Airport,John F. Kennedy International Airport,119,15087,15252,15087,15252,N00001,Boeing 737-600
3210,John F. Kennedy International Airport,Dallas/Fort Worth International Airport,119,15288,15522,15288,15522,N00001,Boeing 737-600
3264,Dallas/Fort Worth International Airport,Newark Liberty International Airport,119,15548,15783,15548,null,N00001,Boeing 737-600
24,Denver International Airport,John F. Kennedy International Airport,65,81,351,81,351,N00002,Boeing 737-600
55,John F. Kennedy International Airport,Denver International Airport,70,377,643,377,643,N00002,Boeing 737-600
134,Denver International Airport,Washington Dulles International Airport,20,679,923,679,923,N00002,Boeing 737-600
189,Washington Dulles International Airport,O'Hare International Airport,70,949,1097,949,1097,N00002,Boeing 737-600
228,O'Hare International Airport,Washington Dulles International Airport,70,1123,1271,1123,1271,N00002,Boeing 737-600
260,Washington Dulles International Airport,Newark Liberty International Airport,45,1297,1395,1297,1395,N00002,Boeing 737-600
288,Newark Liberty International Airport,Washington Dulles International Airport,50,1421,1519,1421,1519,N00002,Boeing 737-600
330,Washington Dulles International Airport,O'Hare International Airport,70,1766,1914,1766,1914,N00002,Boeing 737-600
387,O'Hare International Airport,Los Angeles International Airport,119,1950,2229,1950,2233,N00002,Boeing 737-600
451,Los Angeles International Airport,Philadelphia International Airport,101,2269,2625,2269,2625,N00002,Boeing 737-600
542,Philadelphia International Airport,O'Hare International Airport,70,2651,2809,2651,2809,N00002,Boeing 737-600
617,O'Hare International Airport,San Francisco International Airport,80,2941,3231,2941,3231,N00002,Boeing 737-600
652,San Francisco International Airport,Denver International Airport,70,3257,3447,3257,3447,N00002,Boeing 737-600
714,Denver International Airport,George Bush Intercontinental Airport,70,3473,3652,3473,3652,N00002,Boeing 737-600
750,George Bush Intercontinental Airport,Los Angeles International Airport,119,3688,3919,3688,3919,N00002,Boeing 737-600
823,Los Angeles International Airport,Detroit Metropolitan Airport,119,3945,4253,3945,4253,N00002,Boeing 737-600
901,Detroit Metropolitan Airport,Philadelphia International Airport,90,4289,4420,4289,4420,N00002,Boeing 737-600
944,Philadelphia International Airport,O'Hare International Airport,119,4646,4804,4646,4804,N00002,Boeing 737-600
1006,O'Hare International Airport,Los Angeles International Airport,119,4830,5109,4830,5115,N00002,Boeing 737-600
1068,Los Angeles International Airport,Logan International Airport,119,5151,5531,5151,5531,N00002,Boeing 737-600
1167,Logan International Airport,Baltimore/Washington International Airport,35,5557,5679,5557,5679,N00002,Boeing 737-600
1200,Baltimore/Washington International Airport,Newark Liberty International Airport,45,5705,5791,5705,5791,N00002,Boeing 737-600
1233,Newark Liberty International Airport,Los Angeles International Airport,119,5827,6179,5827,6207,N00002,Boeing 737-600
1300,Los Angeles International Airport,John F. Kennedy International Airport,111,6243,6607,6243,6607,N00002,Boeing 737-600
1383,John F. Kennedy International Airport,O'Hare International Airport,119,6633,6797,6633,6797,N00002,Boeing 737-600
1433,O'Hare International Airport,Logan International Airport,119,6833,7012,6833,7012,N00002,Boeing 737-600
1484,Logan International Airport,Baltimore/Washington International Airport,35,7038,7160,7038,7160,N00002,Boeing 737-600
1520,Baltimore/Washington International Airport,John F. Kennedy International Airport,45,7186,7274,7186,7274,N00002,Boeing 737-600
1554,John F. Kennedy International Airport,O'Hare International Airport,119,7526,7690,7526,7690,N00002,Boeing 737-600
1624,O'Hare International Airport,Los Angeles International Airport,119,7726,8005,7726,8008,N00002,Boeing 737-600
1689,Los Angeles International Airport,Detroit Metropolitan Airport,119,8034,8342,8034,8342,N00002,Boeing 737-600
1763,Detroit Metropolitan Airport,LaGuardia Airport,100,8378,8515,8378,8515,N00002,Boeing 737-600
1804,LaGuardia Airport,Hartsfield-Jackson Atlanta International Airport,119,8541,8708,8541,8708,N00002,Boeing 737-600
1856,Hartsfield-Jackson Atlanta International Airport,Denver International Airport,60,8966,9182,8966,9182,N00002,Boeing 737-600
1934,Denver International Airport,George Bush Intercontinental Airport,70,9208,9387,9208,9387,N00002,Boeing 737-600
1972,George Bush Intercontinental Airport,Denver International Airport,75,9423,9600,9423,9600,N00002,Boeing 737-600
2022,Denver International Airport,Nashville International Airport,20,9626,9821,9626,9821,N00002,Boeing 737-600
2075,Nashville International Airport,O'Hare International Airport,65,9847,9976,9847,9976,N00002,Boeing 737-600
2115,O'Hare International Airport,Washington Dulles International Airport,70,10002,10150,10002,10150,N00002,Boeing 737-600
2166,Washington Dulles International Airport,O'Hare International Airport,70,10406,10554,10406,10554,N00002,Boeing 737-600
2224,O'Hare International Airport,Denver International Airport,100,10590,10772,10590,10772,N00002,Boeing 737-600
2266,Denver International Airport,Seattle-Tacoma International Airport,40,10798,10993,10798,10993,N00002,Boeing 737-600
2316,Seattle-Tacoma International Airport,Los Angeles International Airport,115,11019,11206,11019,11206,N00002,Boeing 737-600
2367,Los Angeles International Airport,Minneapolis-Saint Paul International Airport,119,11242,11500,11242,11500,N00002,Boeing 737-600
2465,Minneapolis-Saint Paul International Airport,Denver International Airport,35,11846,12004,11846,12004,N00002,Boeing 737-600
2528,Denver International Airport,Dallas/Fort Worth International Airport,75,12030,12186,12030,12186,N00002,Boeing 737-600
2559,Dallas/Fort Worth International Airport,Los Angeles International Airport,119,12222,12439,12222,12439,N00002,Boeing 737-600
2621,Los Angeles International Airport,Denver International Airport,119,12465,12643,12465,12643,N00002,Boeing 737-600
2670,Denver International Airport,LaGuardia Airport,65,12669,12939,12669,12939,N00002,Boeing 737-600
2745,LaGuardia Airport,San Francisco International Airport,119,12975,13340,12975,13352,N00002,Boeing 737-600
2818,San Francisco International Airport,Phoenix Sky Harbor International Airport,119,13378,13531,13378,13531,N00002,Boeing 737-600
2856,Phoenix Sky Harbor International Airport,Los Angeles International Airport,119,13557,13679,13557,13679,N00002,Boeing 737-600
2885,Los Angeles International Airport,Philadelphia International Airport,119,13715,14071,13715,14071,N00002,Boeing 737-600
2971,Philadelphia International Airport,Los Angeles International Airport,119,14107,14454,14107,14454,N00002,Boeing 737-600
3073,Los Angeles International Airport,O'Hare International Airport,119,14490,14774,14490,14774,N00002,Boeing 737-600
3114,O'Hare International Airport,Denver International Airport,100,14800,14982,14800,14982,N00002,Boeing 737-600
3158,Denver International Airport,San Francisco International Airport,70,15008,15197,15008,15197,N00002,Boeing 737-600
3193,San Francisco International Airport,Phoenix Sky Harbor International Airport,119,15233,15386,15233,15386,N00002,Boeing 737-600
3238,Phoenix Sky Harbor International Airport,O'Hare International Airport,119,15412,15655,15412,15655,N00002,Boeing 737-600
3289,O'Hare International Airport,Phoenix Sky Harbor International Airport,5,15681,15921,15681,15921,N00002,Boeing 737-600
3327,Phoenix Sky Harbor International Airport,Denver International Airport,50,16176,16326,16176,16326,N00002,Boeing 737-600
3351,Denver International Airport,O'Hare International Airport,95,16352,16536,16352,16536,N00002,Boeing 737-600
3357,O'Hare International Airport,Los Angeles International Airport,119,16562,16841,16562,null,N00002,Boeing 737-600
18,O'Hare International Airport,Los Angeles International Airport,119,72,351,72,351,N00003,Boeing 737-600
56,Los Angeles International Airport,O'Hare International Airport,119,377,661,377,661,N00003,Boeing 737-600
137,O'Hare International Airport,LaGuardia Airport,36,697,861,697,861,N00003,Boeing 737-600
174,LaGuardia Airport,Los Angeles International Airport,76,887,1241,887,1241,N00003,Boeing 737-600
255,Los Angeles International Airport,George Bush Intercontinental Airport,119,1277,1511,1277,1511,N00003,Boeing 737-600
331,George Bush Intercontinental Airport,Denver International Airport,75,1766,1943,1766,1943,N00003,Boeing 737-600
395,Denver International Airport,San Francisco International Airport,70,1969,2158,1969,2158,N00003,Boeing 737-600
432,San Francisco International Airport,Dallas/Fort Worth International Airport,119,2194,2440,2194,2440,N00003,Boeing 737-600
497,Dallas/Fort Worth International Airport,San Francisco International Airport,119,2466,2708,2466,2708,N00003,Boeing 737-600
557,San Francisco International Airport,Phoenix Sky Harbor International Airport,119,2734,2887,2734,2887,N00003,Boeing 737-600
607,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,110,2923,3248,2923,3248,N00003,Boeing 737-600
673,Newark Liberty International Airport,O'Hare International Airport,119,3274,3436,3274,3436,N00003,Boeing 737-600
708,O'Hare International Airport,George Bush Intercontinental Airport,119,3472,3657,3472,3657,N00003,Boeing 737-600
753,George Bush Intercontinental Airport,O'Hare International Airport,119,3683,3869,3683,3869,N00003,Boeing 737-600
814,O'Hare International Airport,Logan International Airport,119,3895,4074,3895,4074,N00003,Boeing 737-600
856,Logan International Airport,John F. Kennedy International Airport,110,4100,4188,4100,4188,N00003,Boeing 737-600
880,John F. Kennedy International Airport,Ronald Reagan Washington National Airport,50,4214,4312,4214,4312,N00003,Boeing 737-600
920,Ronald Reagan Washington National Airport,San Francisco International Airport,50,4348,4699,4348,4712,N00003,Boeing 737-600
984,San Francisco International Airport,Los Angeles International Airport,96,4738,4850,4738,4850,N00003,Boeing 737-600
1015,Los Angeles International Airport,Newark Liberty International Airport,119,4886,5248,4886,5248,N00003,Boeing 737-600
1107,Newark Liberty International Airport,Dallas/Fort Worth International Airport,119,5284,5516,5284,5516,N00003,Boeing 737-600
1159,Dallas/Fort Worth International Airport,LaGuardia Airport,119,5542,5779,5542,5779,N00003,Boeing 737-600
1226,LaGuardia Airport,Los Angeles International Airport,119,5815,6169,5815,6172,N00003,Boeing 737-600
1295,Los Angeles International Airport,O'Hare International Airport,119,6208,6492,6208,6492,N00003,Boeing 737-600
1353,O'Hare International Airport,LaGuardia Airport,119,6518,6682,6518,6682,N00003,Boeing 737-600
1402,LaGuardia Airport,Dallas/Fort Worth International Airport,119,6718,6952,6718,6952,N00003,Boeing 737-600
1468,Dallas/Fort Worth International Airport,Philadelphia International Airport,119,6978,7206,6978,7206,N00003,Boeing 737-600
1534,Philadelphia International Airport,Los Angeles International Airport,119,7242,7589,7242,7602,N00003,Boeing 737-600
1603,Los Angeles International Airport,O'Hare International Airport,119,7638,7922,7638,7922,N00003,Boeing 737-600
1667,O'Hare International Airport,LaGuardia Airport,36,7948,8112,7948,8112,N00003,Boeing 737-600
1712,LaGuardia Airport,O'Hare International Airport,85,8138,8302,8138,8302,N00003,Boeing 737-600
1751,O'Hare International Airport,Logan International Airport,30,8338,8517,8338,8517,N00003,Boeing 737-600
1805,Logan International Airport,Hartsfield-Jackson Atlanta International Airport,105,8543,8729,8543,8729,N00003,Boeing 737-600
1857,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,119,8966,9266,8966,9266,N00003,Boeing 737-600
1947,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,119,9302,9608,9302,9608,N00003,Boeing 737-600
2024,Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,5,9634,9801,9634,9801,N00003,Boeing 737-600
2072,John F. Kennedy International Airport,George Bush Intercontinental Airport,119,9837,10072,9837,10072,N00003,Boeing 737-600
2161,George Bush Intercontinental Airport,San Francisco International Airport,119,10156,10421,10156,10421,N00003,Boeing 737-600
2182,San Francisco International Airport,Denver International Airport,70,10457,10647,10457,10647,N00003,Boeing 737-600
2248,Denver International Airport,Austin-Bergstrom International Airport,25,10673,10842,10673,10842,N00003,Boeing 737-600
2278,Austin-Bergstrom International Airport,Dallas/Fort Worth International Airport,60,10868,10959,10868,10959,N00003,Boeing 737-600
2304,Dallas/Fort Worth International Airport,O'Hare International Airport,95,10985,11159,10985,11159,N00003,Boeing 737-600
2353,O'Hare International Airport,Detroit Metropolitan Airport,10,11185,11288,11185,11288,N00003,Boeing 737-600
2387,Detroit Metropolitan Airport,LaGuardia Airport,100,11314,11451,11314,11451,N00003,Boeing 737-600
2426,LaGuardia Airport,Baltimore/Washington International Airport,50,11477,11565,11477,11565,N00003,Boeing 737-600
2460,Baltimore/Washington International Airport,Los Angeles International Airport,119,11601,11940,11601,11945,N00003,Boeing 737-600
2517,Los Angeles International Airport,Newark Liberty International Airport,119,11981,12343,11981,12343,N00003,Boeing 737-600
2596,Newark Liberty International Airport,Los Angeles International Airport,119,12379,12731,12379,12731,N00003,Boeing 737-600
2691,Los Angeles International Airport,San Francisco International Airport,119,12757,12869,12757,12869,N00003,Boeing 737-600
2729,San Francisco International Airport,Logan International Airport,119,12921,13311,12921,13311,N00003,Boeing 737-600
2795,Logan International Airport,Denver International Airport,50,13347,13627,13347,13627,N00003,Boeing 737-600
2871,Denver International Airport,San Diego International Airport,30,13653,13829,13653,13829,N00003,Boeing 737-600
2915,San Diego International Airport,San Francisco International Airport,80,13855,13985,13855,13985,N00003,Boeing 737-600
2957,San Francisco International Airport,LaGuardia Airport,119,14021,14397,14021,14397,N00003,Boeing 737-600
3049,LaGuardia Airport,San Francisco International Airport,30,14433,14798,14433,14798,N00003,Boeing 737-600
3121,San Francisco International Airport,Dallas/Fort Worth International Airport,119,14834,15080,14834,15080,N00003,Boeing 737-600
3172,Dallas/Fort Worth International Airport,O'Hare International Airport,119,15106,15280,15106,17440,N00003,Boeing 737-600
3369,O'Hare International Airport,Denver International Airport,100,17606,17788,17606,17788,N00003,Boeing 737-600
3376,Denver International Airport,Los Angeles International Airport,119,17824,18001,17824,18001,N00003,Boeing 737-600
3384,Los Angeles International Airport,O'Hare International Airport,119,18027,18311,18027,18311,N00003,Boeing 737-600
3393,O'Hare International Airport,Los Angeles International Airport,119,18347,18626,18347,18626,N00003,Boeing 737-600
3404,Los Angeles International Airport,San Francisco International Airport,119,18652,18764,18652,18764,N00003,Boeing 737-600
3412,San Francisco International Airport,O'Hare International Airport,119,18800,19095,18800,19095,N00003,Boeing 737-600
3425,O'Hare International Airport,Los Angeles International Airport,119,19121,19400,19121,19400,N00003,Boeing 737-600
3439,Los Angeles International Airport,LaGuardia Airport,119,19436,19800,19436,19800,N00003,Boeing 737-600
3456,LaGuardia Airport,Denver International Airport,70,19836,20102,19836,20102,N00003,Boeing 737-600
1,Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,85,35,361,35,361,N00004,Boeing 737-600
82,Seattle-Tacoma International Airport,San Francisco International Airport,95,387,543,387,543,N00004,Boeing 737-600
114,San Francisco International Airport,O'Hare International Airport,100,579,874,579,874,N00004,Boeing 737-600
178,O'Hare International Airport,Detroit Metropolitan Airport,119,900,1003,900,1003,N00004,Boeing 737-600
207,Detroit Metropolitan Airport,Los Angeles International Airport,119,1039,1341,1039,1341,N00004,Boeing 737-600
277,Los Angeles International Airport,San Francisco International Airport,119,1367,1479,1367,1479,N00004,Boeing 737-600
319,San Francisco International Airport,O'Hare International Airport,119,1515,1810,1515,1810,N00004,Boeing 737-600
369,O'Hare International Airport,Denver International Airport,100,1836,2018,1836,2018,N00004,Boeing 737-600
411,Denver International Airport,Hartsfield-Jackson Atlanta International Airport,60,2054,2272,2054,2272,N00004,Boeing 737-600
459,Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,15,2298,2457,2298,2457,N00004,Boeing 737-600
504,George Bush Intercontinental Airport,San Francisco International Airport,119,2483,2748,2483,2748,N00004,Boeing 737-600
575,San Francisco International Airport,Seattle-Tacoma International Airport,100,2784,2940,2784,2940,N00004,Boeing 737-600
