item,net profit,time,location
FUEL,42556.25,0,Dallas/Fort Worth International Airport
FUEL,42556.25,0,Denver International Airport
FUEL,42556.25,0,O'Hare International Airport
FUEL,42556.25,0,O'Hare International Airport
FUEL,42556.25,0,Dallas/Fort Worth International Airport
FUEL,42556.25,0,Dallas/Fort Worth International Airport
FUEL,42556.25,0,Denver International Airport
FUEL,42556.25,0,O'Hare International Airport
FUEL,42556.25,0,Denver International Airport
FUEL,42556.25,0,Denver International Airport
FUEL,42556.25,0,Denver International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Denver International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Dallas/Fort Worth International Airport
FUEL,42556.25,0,Dallas/Fort Worth International Airport
FUEL,42556.25,0,Denver International Airport
FUEL,42556.25,0,O'Hare International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Dallas/Fort Worth International Airport
FUEL,42556.25,0,O'Hare International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,42556.25,0,O'Hare International Airport
FUEL,42556.25,0,Dallas/Fort Worth International Airport
FUEL,35840.10,0,O'Hare International Airport
FUEL,35840.10,0,Denver International Airport
FUEL,35840.10,0,O'Hare International Airport
FUEL,35840.10,0,Denver International Airport
FUEL,35840.10,0,Dallas/Fort Worth International Airport
FUEL,35840.10,0,Denver International Airport
FUEL,35840.10,0,Dallas/Fort Worth International Airport
FUEL,35840.10,0,Denver International Airport
FUEL,35840.10,0,Hartsfield-Jackson Atlanta International Airport
FUEL,35840.10,0,O'Hare International Airport
FUEL,35840.10,0,Dallas/Fort Worth International Airport
FUEL,35840.10,0,Dallas/Fort Worth International Airport
FUEL,35840.10,0,O'Hare International Airport
FUEL,35840.10,0,O'Hare International Airport
TAKEOFF_FEE,2000,35,Dallas/Fort Worth International Airport
